# x, y, dx, dy, 1st best, 2nd best
442,22,0,0,7,44
516,22,0,0,3,47
358,24,0,0,9,74
466,24,0,0,8,67
558,28,0,0,10,188
832,22,6,6,11,52
386,30,0,0,4,55
664,32,28,-2,8,14
730,28,6,2,13,38
1058,26,-32,4,14,58
346,32,0,0,10,62
500,32,0,0,1,43
730,42,10,-10,13,24
788,30,2,2,14,18
676,28,4,6,4,7
846,28,4,6,10,32
1058,26,10,8,19,62
324,36,0,0,1,49
516,36,0,0,9,49
524,38,0,-2,23,104
846,28,12,8,11,29
452,38,0,0,6,32
504,40,-2,-2,11,48
664,32,-2,10,9,15
1028,36,-6,6,8,17
730,42,8,2,13,21
856,36,12,8,7,13
1038,36,14,8,7,10
296,46,0,0,8,84
336,46,-2,0,19,42
506,46,0,0,6,44
448,48,0,0,7,46
454,50,0,-2,15,35
640,28,16,22,13,18
294,54,-2,0,10,33
276,56,-2,0,5,25
354,56,0,0,5,48
568,54,6,4,11,20
664,32,16,26,8,14
432,60,0,0,6,50
716,88,20,-28,18,27
412,64,0,0,5,69
758,94,24,-30,17,33
902,58,2,6,9,31
502,66,0,0,6,61
1086,66,0,0,12,42
486,68,0,0,11,81
660,90,-10,-22,16,23
266,70,0,0,5,75
410,70,0,0,4,84
902,58,10,12,11,50
304,74,0,0,6,48
408,76,-2,-2,23,41
476,74,0,0,4,58
538,74,0,0,4,75
832,74,14,0,14,19
418,76,0,0,3,43
322,78,0,0,2,43
770,76,4,6,8,11
244,90,0,-2,19,42
428,92,0,0,2,44
758,94,8,-2,13,30
1002,88,18,6,20,39
1002,88,8,8,21,36
1050,86,6,10,20,32
256,98,0,0,6,90
490,98,0,0,13,66
436,102,0,0,4,82
484,102,0,0,8,54
352,106,0,0,17,75
552,90,2,16,7,10
750,108,10,-2,11,24
764,82,-6,28,14,21
406,112,-2,0,23,77
540,124,12,-12,11,14
698,106,4,8,19,97
462,118,0,0,13,44
292,122,0,0,3,64
928,120,10,2,6,16
1072,114,10,8,14,25
286,124,0,0,13,50
