# x, y, dx, dy, 1st best, 2nd best
270,22,0,0,6,45
446,22,0,0,19,63
844,22,0,0,12,78
292,24,0,0,11,84
602,22,0,2,13,53
680,24,0,0,5,72
738,24,0,0,4,40
442,26,0,0,12,46
540,26,0,0,16,85
622,26,0,0,9,108
678,30,-2,0,23,67
266,30,0,2,9,44
660,32,0,0,13,78
210,34,0,0,13,122
250,32,0,2,7,51
606,34,0,0,9,60
76,36,0,0,12,45
690,36,0,0,12,62
760,34,0,2,13,35
564,38,0,0,14,77
862,38,0,0,8,94
362,40,0,0,17,71
526,40,0,0,18,55
662,40,0,0,1,56
604,40,0,2,10,34
654,42,0,0,10,83
716,42,0,0,6,85
612,44,0,0,5,73
72,46,0,0,10,67
292,46,0,0,16,68
808,44,0,2,9,16
106,48,0,0,9,60
302,46,0,2,16,56
438,48,0,0,7,63
478,48,0,0,10,88
502,46,0,2,7,41
800,48,0,0,2,17
366,48,0,2,22,84
682,50,0,0,8,57
736,50,0,0,6,36
828,50,0,0,6,55
254,56,0,0,7,79
272,54,0,2,8,57
338,56,0,2,12,88
870,58,0,0,6,41
760,62,0,0,8,114
258,64,0,0,13,55
438,62,0,2,12,62
838,64,0,0,4,39
468,66,0,0,11,55
898,64,-2,2,20,48
276,68,0,2,14,56
432,74,0,0,7,141
572,74,0,0,8,61
256,76,0,0,7,49
522,74,0,2,15,49
538,76,0,0,16,115
592,76,0,0,10,117
194,76,0,2,18,80
94,84,0,0,11,70
724,82,0,2,16,63
140,86,0,0,8,83
162,84,0,2,20,76
638,86,0,0,8,96
796,86,0,0,3,47
156,88,0,0,9,60
442,88,0,0,5,72
300,90,0,0,23,36
556,88,0,2,10,128
626,88,0,2,22,50
866,90,0,0,3,20
908,90,0,0,0,17
394,92,0,0,11,83
90,92,-2,2,22,75
800,94,0,0,14,51
912,94,0,0,1,16
716,96,0,0,5,65
862,96,0,0,6,29
264,98,0,0,16,44
392,98,0,0,13,67
576,98,0,0,9,62
190,98,0,2,14,49
386,100,0,0,19,75
768,98,0,2,18,56
916,100,0,0,1,14
198,100,0,2,15,62
628,102,0,0,10,84
714,102,0,0,16,52
310,102,0,2,8,17
548,102,0,2,21,71
592,102,0,2,17,97
808,104,0,0,17,57
520,106,0,2,15,75
620,108,0,0,11,53
926,108,0,0,0,15
382,110,0,0,11,73
436,108,0,2,9,66
688,110,0,2,20,79
784,112,0,0,11,55
802,112,0,0,7,49
148,114,0,0,12,62
668,114,0,2,23,70
938,116,0,0,3,25
842,120,0,0,6,65
960,120,0,0,2,59
100,120,0,2,17,49
190,120,0,2,20,57
432,120,0,2,20,81
782,124,0,0,11,79
970,124,-2,0,23,52
102,128,0,0,18,39
466,126,0,2,22,77
760,130,0,0,9,107
906,130,0,0,5,47
92,132,0,0,9,82
262,130,0,2,13,53
394,132,0,0,10,61
436,130,0,2,16,92
494,130,0,2,13,87
464,132,0,2,18,81
546,134,0,0,19,79
808,134,0,0,21,83
334,134,0,2,6,26
966,136,0,0,7,86
672,138,0,0,7,70
510,138,0,2,12,65
560,140,0,0,18,113
620,138,0,2,9,94
230,142,0,0,12,50
312,140,0,2,10,103
658,140,0,2,19,53
584,142,0,2,21,89
676,142,0,2,17,61
778,144,0,0,9,74
116,146,-2,0,17,45
632,146,0,0,9,92
360,148,0,0,15,101
520,148,0,0,8,109
536,146,0,2,18,54
708,148,0,0,10,100
944,148,0,0,4,27
234,150,0,0,11,44
696,148,0,2,22,102
180,152,0,0,13,57
872,156,0,0,4,55
372,160,0,0,17,71
850,160,0,0,12,61
864,160,0,0,18,94
364,162,0,0,10,65
518,162,0,0,13,68
950,162,0,0,3,53
188,162,0,2,20,66
432,164,0,0,12,125
452,164,0,0,16,87
580,164,0,0,14,106
696,164,0,0,14,61
758,162,0,2,16,89
898,164,0,0,5,42
136,166,-2,0,18,36
384,164,0,2,6,82
1002,166,0,0,0,19
628,168,0,0,16,84
348,170,0,0,12,29
394,168,0,2,15,73
512,170,0,0,10,58
954,170,0,0,2,63
848,172,0,0,7,54
866,172,0,0,14,82
764,174,2,0,12,86
580,174,0,2,19,65
1010,176,0,0,2,42
284,178,-2,0,23,63
524,180,0,2,12,56
572,182,0,0,10,86
974,182,0,0,4,34
788,184,0,2,23,71
132,188,0,0,4,26
722,188,0,0,17,79
830,188,0,0,7,45
234,190,0,0,17,111
556,190,0,0,9,76
632,190,0,2,16,54
584,194,0,0,14,75
624,194,0,0,4,74
650,194,0,0,4,52
822,194,0,0,4,47
982,192,2,2,19,72
364,194,0,2,12,50
318,198,-2,0,21,142
420,196,2,2,23,44
982,198,0,0,2,48
154,198,0,2,17,51
282,200,0,0,19,50
1000,200,0,0,0,52
492,202,0,0,13,26
692,204,0,0,2,45
126,206,0,0,7,48
716,206,0,0,6,56
832,206,-2,0,18,40
566,208,-2,0,17,44
910,206,0,2,10,46
952,208,2,0,12,25
216,212,0,0,18,74
790,212,0,0,18,94
882,212,0,0,9,124
958,212,0,0,1,26
334,214,0,0,15,75
908,214,0,0,4,50
212,216,0,0,11,57
228,216,0,0,11,43
578,214,0,2,15,41
234,216,0,2,16,47
466,218,0,0,6,31
658,218,0,0,1,9
1010,218,0,0,3,53
530,220,0,0,7,93
848,220,0,0,12,105
162,220,0,2,22,32
874,222,0,0,8,82
124,222,0,2,8,39
680,224,0,0,1,16
960,226,0,0,0,35
166,226,0,2,19,58
230,228,0,0,13,79
328,232,0,0,12,86
734,230,0,2,9,37
740,232,0,0,10,44
878,232,0,0,11,81
658,244,10,-10,6,15
856,234,0,0,8,48
354,236,0,0,8,51
438,254,16,-18,19,25
676,234,0,2,4,15
772,238,-2,-2,14,18
612,240,10,-2,2,3
744,238,0,0,6,41
130,238,0,2,14,25
226,238,0,2,19,106
546,240,0,0,3,15
594,262,2,-20,12,15
132,244,0,0,13,30
438,240,-8,4,15,19
624,258,26,-14,5,8
832,244,0,0,2,26
100,246,0,0,5,55
506,244,2,2,20,31
924,246,0,0,9,86
316,252,-14,-2,22,51
396,272,10,-22,23,31
968,250,0,0,2,41
992,250,0,0,0,123
316,252,0,0,5,35
402,248,-2,4,12,17
450,256,-4,-4,5,10
788,252,0,0,3,24
1008,252,0,0,2,74
116,252,0,2,7,99
612,240,-14,14,1,2
472,256,0,0,6,26
994,256,0,0,2,62
352,258,0,0,12,42
92,260,0,0,4,45
648,260,0,0,0,13
670,258,0,2,4,13
988,260,0,0,1,61
248,262,0,0,15,47
262,262,0,0,16,82
588,262,0,0,1,4
