# x, y, dx, dy, 1st best, 2nd best
130,22,0,0,7,62
378,22,0,0,11,84
810,22,0,0,2,63
1016,22,0,0,3,44
1064,24,0,0,9,69
348,26,0,0,12,60
616,26,0,0,4,95
634,28,0,0,10,128
770,28,0,0,3,90
232,30,0,0,8,90
682,30,0,0,6,89
896,30,0,0,5,53
914,30,0,0,3,92
130,32,0,0,8,49
224,32,0,0,6,46
446,32,0,0,1,67
540,32,0,0,7,46
222,36,0,0,5,55
410,36,0,0,4,58
440,36,0,0,2,44
896,36,0,0,2,91
462,38,0,0,3,63
1022,38,0,0,0,41
1042,40,0,-2,18,55
152,40,0,0,13,79
450,38,0,2,22,61
570,40,0,0,8,117
764,40,0,0,5,90
806,40,0,0,6,109
968,40,0,0,1,100
1052,40,0,0,1,61
688,42,0,0,5,127
952,42,0,0,0,56
672,44,0,0,4,75
836,44,0,0,4,61
946,44,0,0,1,55
1074,44,0,0,0,33
926,46,0,0,3,82
254,48,0,0,4,65
496,48,0,0,7,40
800,48,0,0,5,70
620,50,0,0,9,47
988,50,0,0,1,55
628,52,0,0,8,81
688,52,0,0,5,94
110,54,0,0,16,93
340,52,0,2,18,52
410,54,0,0,4,31
710,54,0,0,11,80
278,56,0,0,6,46
488,58,0,0,4,62
646,58,0,0,2,40
130,60,0,0,13,68
180,62,0,0,7,28
186,60,0,2,13,37
998,64,0,0,3,89
806,66,0,0,4,101
934,66,0,0,8,81
1028,66,0,0,6,49
246,70,0,-2,16,67
260,70,0,-2,8,25
394,68,0,0,6,83
486,68,0,0,4,47
946,68,0,0,0,50
558,70,0,0,6,108
734,70,0,0,11,79
970,68,-2,2,21,49
482,72,0,0,7,46
852,72,0,0,2,146
1016,72,0,0,3,53
1070,72,0,0,2,31
204,74,0,0,3,30
1090,74,0,0,12,66
348,76,0,0,4,54
380,76,0,0,2,27
1066,76,0,0,1,43
654,78,0,0,4,61
406,80,0,0,16,104
430,80,0,0,10,82
630,80,0,0,1,42
1098,80,0,0,6,74
336,82,0,0,8,46
478,82,0,0,8,51
638,82,0,0,2,41
1056,82,0,0,3,52
756,84,0,0,6,93
516,86,0,0,8,94
768,86,0,0,10,92
924,86,0,0,6,65
124,86,2,2,23,57
162,90,0,0,6,31
796,92,0,0,13,85
146,94,0,0,6,74
320,98,0,0,5,49
538,98,0,0,10,63
782,98,0,0,5,101
1056,98,0,0,3,34
502,102,0,0,2,75
896,102,0,0,2,67
204,106,0,0,6,84
132,108,0,0,9,90
816,110,0,0,8,73
892,112,0,0,3,77
1024,112,0,0,4,33
960,114,0,0,7,80
1072,114,0,0,0,35
1090,114,0,0,5,60
590,116,0,0,12,79
256,120,0,0,7,52
1040,120,2,0,20,57
514,122,0,0,11,96
816,122,0,0,6,80
848,122,0,0,2,102
932,122,0,0,2,107
180,124,0,0,4,51
378,124,0,0,7,72
290,126,0,0,8,44
696,126,0,0,4,74
864,126,0,0,1,51
1068,126,0,0,3,43
258,130,0,-2,11,32
396,128,0,0,7,82
690,128,0,0,7,69
984,128,0,0,6,48
996,128,0,0,9,34
666,130,0,0,9,95
1078,130,0,0,1,23
240,134,0,0,12,104
584,134,0,0,5,111
168,136,0,0,2,40
636,136,0,0,10,86
984,136,0,0,0,59
992,136,0,0,6,55
156,142,0,-2,11,23
162,140,0,0,3,41
894,140,0,0,9,83
944,140,0,0,2,84
1076,140,0,0,1,41
1026,142,0,0,3,53
202,144,0,0,6,100
1020,144,0,0,4,53
268,148,0,0,2,42
798,148,0,0,14,79
326,150,0,0,8,70
1044,150,0,0,9,79
1090,150,0,0,1,12
378,154,0,0,2,95
656,154,0,0,7,64
902,154,0,0,8,93
528,156,0,0,6,97
1092,156,0,0,0,13
112,156,0,2,13,46
340,158,0,0,11,107
818,160,0,0,8,79
172,162,0,0,12,83
958,162,0,0,6,75
1094,162,2,0,12,21
334,166,0,0,8,88
820,166,0,0,10,92
848,166,0,0,1,97
798,168,0,0,6,81
1052,168,0,0,1,102
1096,168,2,0,15,28
306,170,0,0,4,70
428,170,-2,0,11,42
438,170,-2,0,13,34
632,170,0,0,9,39
298,172,0,0,4,65
482,176,0,0,5,40
562,176,0,0,8,65
362,178,0,0,3,81
566,178,0,0,6,59
796,178,0,0,8,58
1050,180,0,0,0,64
734,184,0,0,3,41
848,184,0,0,6,35
220,186,-2,0,9,54
262,186,0,0,7,72
528,186,0,0,11,80
1020,184,0,2,6,90
1084,186,0,0,5,70
910,188,0,0,6,105
954,188,0,0,8,47
464,190,0,0,5,42
604,202,-14,-12,20,28
114,192,0,0,4,32
138,192,0,0,2,33
468,192,0,0,4,41
194,194,0,0,8,108
406,194,0,0,4,71
238,196,2,0,18,63
374,196,0,0,4,112
474,196,0,0,2,66
886,196,0,0,14,78
336,198,0,0,12,88
824,198,0,0,4,63
1080,198,0,0,3,63
130,202,0,-2,20,50
982,200,0,0,4,59
422,202,0,0,5,50
500,202,2,0,16,72
604,202,0,0,3,25
838,202,0,0,4,33
364,204,0,0,11,85
670,204,0,0,2,24
1094,204,0,0,4,35
206,206,0,0,6,67
676,206,0,0,2,24
772,206,2,2,19,25
308,212,0,0,7,70
628,208,4,4,18,23
680,212,0,0,3,28
1002,212,0,0,4,67
236,214,0,0,13,68
162,216,0,0,2,91
1082,216,0,0,3,56
274,218,0,0,3,53
736,216,0,2,17,36
1052,218,0,0,3,80
104,220,0,0,3,61
710,220,0,0,3,25
614,222,0,0,1,16
906,222,0,0,3,48
1052,224,0,0,3,66
304,226,0,0,14,67
394,226,0,0,7,76
800,226,0,0,3,31
832,226,0,0,5,54
906,228,0,0,2,71
114,234,-2,-2,23,63
950,230,0,2,23,73
1080,234,0,0,1,18
134,236,0,0,4,62
326,236,0,0,6,45
976,236,0,0,4,46
118,240,0,0,5,51
236,240,0,0,9,69
546,252,24,-12,11,15
578,244,0,-2,5,17
666,250,-2,-8,12,19
1100,242,0,0,19,51
466,244,0,0,7,52
1004,246,0,0,3,51
1020,246,0,0,1,46
348,248,0,0,3,24
844,248,2,0,8,38
138,250,0,0,2,75
608,250,2,0,16,20
674,252,0,0,5,16
1048,252,0,0,2,42
358,254,0,0,5,11
364,254,0,0,4,16
492,254,-4,0,7,11
470,262,8,-6,13,18
830,256,2,0,12,36
992,256,0,0,4,52
206,258,0,0,15,46
260,258,0,0,6,68
372,282,-22,-24,10,16
524,258,0,0,2,16
736,238,14,20,13,18
794,258,0,0,0,15
1048,258,0,0,4,42
250,260,0,0,11,88
470,262,0,-2,8,15
790,258,0,2,9,12
508,268,-4,-6,8,10
812,262,0,0,4,22
990,262,-2,0,21,90
890,264,-2,0,7,36
1006,264,0,0,2,54
298,266,0,0,5,36
508,268,0,-2,5,9
684,266,0,0,5,13
1052,266,0,0,3,38
910,278,-10,-10,13,17
1020,268,0,0,5,69
578,244,-6,26,17,24
470,262,-32,10,18,24
676,258,2,14,15,20
766,272,0,0,9,41
118,274,0,0,6,62
614,274,0,0,4,20
714,274,0,0,4,39
144,276,0,0,7,60
176,276,0,0,1,43
328,276,2,0,10,21
988,276,0,0,3,62
110,278,0,0,8,61
844,278,0,0,9,43
948,280,-2,0,8,10
1062,280,0,0,3,86
142,282,0,0,3,55
356,282,0,0,2,16
1058,288,0,0,1,37
88,290,0,0,15,49
458,290,-2,0,3,13
870,290,0,0,6,37
1012,290,0,0,0,63
354,290,-2,2,7,10
668,292,0,0,13,74
1056,292,0,0,2,33
532,298,0,-2,20,35
1062,296,0,0,1,52
64,298,0,0,13,60
326,314,-14,-16,13,19
944,298,0,0,0,10
126,300,0,0,15,42
818,300,0,0,9,61
948,280,-12,20,7,13
1052,300,0,0,1,34
170,302,0,0,2,46
354,290,-12,12,10,13
394,308,4,-6,14,33
536,304,0,0,7,68
594,304,0,0,14,80
708,306,0,-2,4,20
930,310,-2,-6,6,10
708,306,0,2,8,12
856,308,0,0,11,102
822,310,0,0,7,89
686,330,4,-18,18,38
924,308,2,4,3,4
94,318,0,-2,23,52
148,316,0,0,5,38
284,316,2,0,2,26
782,316,2,2,7,21
306,320,0,0,6,20
752,320,0,0,3,27
776,318,2,2,7,12
1066,332,-12,-10,15,19
770,328,-2,-4,15,19
944,298,24,26,14,24
92,326,0,0,10,47
226,326,0,0,4,56
306,328,0,-2,8,21
746,326,0,0,4,32
874,326,2,0,13,46
100,330,-2,-2,23,42
142,330,0,0,9,44
722,332,0,-2,9,27
112,332,0,0,12,64
210,332,0,0,16,77
726,334,0,-2,10,45
836,332,0,0,4,32
960,332,0,0,5,18
836,332,-4,2,8,34
608,336,0,0,20,98
842,334,0,2,17,33
386,338,0,0,6,44
620,338,0,0,16,97
1096,338,0,0,15,75
832,340,0,0,4,32
1024,340,0,0,5,50
496,342,-2,0,10,20
664,344,0,-2,21,51
518,344,2,0,10,17
164,346,0,0,4,39
466,346,-2,0,8,13
488,348,-2,-2,13,18
466,346,2,2,7,12
686,348,0,0,6,37
340,350,0,0,10,97
376,350,-2,0,16,32
528,352,0,-2,12,15
1074,364,-4,-14,12,15
144,352,0,0,7,43
1016,352,0,0,2,35
1030,352,0,0,4,55
706,354,0,0,5,62
1002,354,0,0,2,21
662,356,0,0,5,60
912,356,0,0,10,58
1074,364,-2,-8,8,14
408,358,-2,0,6,8
558,358,0,0,5,35
234,360,0,0,4,16
934,362,0,0,4,32
980,362,0,0,5,23
126,364,0,0,6,33
132,366,0,-2,19,55
1074,364,0,0,1,7
122,366,0,0,3,41
380,366,-2,0,10,39
380,366,2,0,9,34
418,366,0,0,5,19
506,366,0,0,1,30
798,366,0,0,11,67
130,370,0,0,6,43
682,372,-2,-2,8,22
332,372,0,0,11,70
856,376,0,0,9,44
390,378,0,0,9,37
182,380,0,0,8,68
302,382,0,0,12,59
230,386,0,-2,3,10
126,386,0,0,3,32
234,384,4,2,8,19
504,386,0,0,5,41
544,388,0,0,7,30
596,388,0,0,4,34
596,388,8,2,22,30
890,388,0,2,15,27
1082,392,0,0,2,15
384,394,2,0,2,73
290,398,0,-2,19,40
576,416,-18,-20,23,32
1084,398,0,-2,5,16
350,398,-6,0,22,28
350,398,0,0,4,42
634,398,0,0,13,45
828,398,0,0,2,11
1048,398,0,0,7,87
828,398,8,2,16,24
848,400,0,0,1,13
798,402,0,0,1,8
798,402,-6,2,21,116
224,404,-2,2,3,4
1094,408,-2,-2,21,30
162,408,0,0,4,31
156,410,0,0,9,34
282,412,0,0,6,58
156,416,0,0,5,36
1090,418,2,-2,20,28
334,420,-4,-2,11,19
432,418,0,0,2,17
1022,420,0,-2,18,47
274,420,0,0,8,39
290,420,0,0,8,33
410,420,0,0,1,13
1054,420,0,0,6,71
390,422,-2,0,2,12
552,430,-8,-8,19,25
390,422,-16,2,5,37
972,424,0,0,10,72
310,426,-2,0,11,24
158,428,0,0,5,20
390,422,-18,6,14,26
946,428,-2,0,19,26
164,430,0,0,1,20
552,430,4,0,22,31
970,430,0,0,17,77
1078,430,0,0,3,21
252,434,0,0,17,74
566,434,2,0,16,34
662,454,18,-18,22,38
322,432,28,6,11,19
476,440,-2,-2,18,109
748,436,-2,2,10,86
150,440,0,0,7,28
630,442,0,0,16,57
774,442,0,0,4,68
482,456,-16,-12,23,52
748,446,0,-2,17,73
1030,444,0,0,3,76
220,448,0,-2,0,6
246,454,0,0,12,63
322,432,14,22,20,28
458,456,0,0,2,50
482,456,0,0,3,54
828,456,0,0,8,79
560,456,2,2,18,42
684,454,0,4,8,24
796,458,0,0,8,51
868,458,0,0,5,46
898,458,0,0,1,60
164,462,0,-2,15,33
664,460,0,0,3,23
772,458,0,2,9,45
902,462,0,0,3,65
152,466,0,0,9,25
868,458,0,8,13,37
422,468,0,0,10,62
830,468,0,0,7,77
974,468,0,0,3,27
1054,470,0,-2,14,51
416,472,0,0,10,46
450,472,0,0,4,34
384,474,0,0,18,62
282,452,-18,24,19,31
368,478,0,-2,14,55
622,478,-14,-2,23,40
162,478,0,0,5,30
528,476,0,2,10,26
690,480,0,-2,3,21
834,478,0,0,3,50
432,480,-2,0,13,42
482,480,0,0,4,101
732,478,-2,2,20,75
1004,480,0,0,11,84
1074,482,2,-2,9,13
440,482,0,0,1,31
768,482,2,0,14,86
918,482,0,0,3,42
162,486,0,-2,7,23
690,480,4,4,8,24
744,484,0,0,4,81
788,484,0,0,2,55
842,484,0,0,2,63
1074,482,0,2,9,15
148,486,0,0,8,32
422,486,0,0,2,44
528,476,30,10,17,31
596,486,0,0,7,86
660,486,0,0,11,36
366,488,0,0,1,38
966,488,0,0,2,28
506,490,0,0,1,62
826,490,-4,0,9,54
826,490,0,0,0,47
1056,490,0,0,10,42
674,492,-2,0,4,37
316,492,0,2,19,27
382,494,-2,0,12,45
724,494,0,0,10,45
1012,498,0,-4,22,55
410,496,0,0,0,18
406,500,-8,-2,23,31
640,496,0,2,20,40
894,498,0,0,0,11
310,504,0,-2,16,26
910,504,0,0,3,15
1070,504,0,0,4,14
162,506,0,0,1,15
640,506,0,0,13,20
706,510,-2,-4,13,38
334,508,0,0,2,38
340,510,0,0,2,24
594,512,-2,-2,10,20
152,524,8,-12,16,21
914,518,4,-2,4,7
966,516,0,0,7,21
1068,518,0,-2,8,22
148,486,10,32,18,23
672,520,0,-2,4,14
784,532,-10,-14,22,49
966,516,6,2,10,21
666,520,-2,0,5,21
1024,520,0,0,2,22
702,524,0,-2,10,44
736,522,0,0,3,7
152,524,0,0,4,17
1068,524,0,0,2,14
164,526,0,0,5,11
416,526,12,0,19,29
920,520,12,8,8,11
162,530,0,0,5,17
942,530,-2,0,9,20
1016,532,0,-2,8,15
746,530,0,2,6,10
306,536,0,-2,4,16
556,524,-30,10,11,25
672,520,2,14,13,23
584,534,2,2,8,26
634,538,-2,-2,6,11
422,562,-32,-24,16,31
496,528,-4,10,17,37
412,542,2,-2,15,38
450,542,0,0,4,30
466,542,0,0,3,13
230,544,0,0,6,58
766,544,-2,0,7,13
1026,544,0,0,6,13
208,548,0,-2,3,22
708,544,-2,2,2,32
160,550,0,0,1,16
584,534,6,16,22,32
784,532,10,18,13,17
892,552,0,-2,8,22
952,558,-32,-8,10,18
230,554,0,-2,15,41
292,572,-12,-20,16,20
746,530,24,22,10,16
1008,552,0,0,8,52
668,584,16,-30,17,30
930,554,0,4,11,22
1028,558,0,0,2,16
288,564,2,-2,4,11
834,562,-2,0,18,39
162,564,0,0,1,12
292,572,-20,-8,16,20
372,562,-4,2,16,36
556,586,-12,-22,17,26
952,558,26,6,22,33
724,592,-14,-26,8,14
1030,566,0,0,4,13
334,552,10,16,13,38
372,562,0,6,22,30
1070,570,0,-2,7,15
208,548,-4,22,19,24
642,568,-4,2,16,31
968,580,0,-10,20,30
748,574,0,0,6,60
164,584,-6,-8,12,15
164,576,0,0,2,13
872,576,0,0,12,44
306,578,2,0,7,10
954,580,0,-2,8,19
792,580,0,0,18,54
948,580,0,0,9,35
822,580,0,2,19,49
1032,582,0,0,7,25
164,584,0,0,2,13
668,584,0,0,1,30
686,586,0,-2,3,21
288,564,30,22,9,20
562,588,0,0,0,26
1034,588,0,0,1,21
166,592,0,0,0,9
660,592,-2,0,5,35
762,592,0,0,14,62
1070,570,6,22,11,16
984,594,0,0,14,43
1012,596,0,0,23,79
410,598,0,0,8,26
468,598,0,2,11,16
724,592,12,8,11,17
332,602,0,0,13,41
198,604,0,0,1,9
902,604,0,0,12,29
232,612,2,0,20,33
168,616,-2,0,6,10
888,616,0,0,9,49
352,618,0,0,10,48
446,642,28,-24,20,30
514,622,2,-2,4,20
342,622,0,0,6,42
714,622,0,0,2,7
930,622,0,0,18,43
1040,622,0,0,3,17
572,650,-8,-26,18,88
856,620,-4,4,18,41
196,628,0,-2,5,7
382,616,-24,10,17,37
514,626,0,0,2,16
572,650,-14,-24,17,88
714,622,0,4,22,29
168,616,2,12,15,21
460,636,-6,-8,21,39
676,626,0,2,4,23
1040,628,0,0,2,12
764,628,-4,2,9,17
196,632,0,0,1,7
654,638,0,-4,3,8
766,634,0,0,4,15
636,636,0,0,2,22
944,636,0,0,15,40
1022,638,0,0,14,29
1072,642,-2,-4,12,30
654,638,0,2,2,5
1066,640,0,0,2,14
902,642,0,0,13,85
1072,642,0,0,4,30
1068,644,0,0,1,15
538,646,-2,0,12,39
704,646,0,0,5,39
772,648,0,-2,3,20
454,648,2,0,13,28
496,648,0,0,4,41
572,650,0,-2,3,5
682,648,-2,0,13,45
448,652,0,0,4,39
630,654,0,-2,7,9
160,654,0,0,14,34
660,650,0,4,3,23
866,654,0,0,17,83
456,658,-2,-2,14,31
630,654,0,2,3,17
234,658,0,0,21,48
764,628,-20,30,12,23
814,662,0,0,5,35
192,664,0,0,3,12
1042,664,0,0,5,13
756,666,-8,0,11,17
560,668,0,0,2,13
192,670,0,0,3,14
1042,678,0,-6,16,20
192,676,0,0,2,19
470,678,10,-2,6,15
640,678,0,0,6,18
1042,678,0,0,0,14
644,680,0,0,8,18
696,680,0,0,1,30
190,682,0,0,6,20
534,688,-2,-4,8,17
960,684,-2,0,18,54
212,686,0,0,8,34
506,694,6,-8,16,21
600,660,-26,26,15,33
1066,686,0,0,1,41
698,688,0,0,0,27
706,686,0,2,14,21
506,694,4,-4,8,25
714,690,0,0,1,35
810,690,-2,0,17,31
520,694,2,-2,4,15
794,694,-2,0,21,92
1066,696,0,0,2,32
1096,700,2,2,20,84
444,706,-2,0,11,17
1060,708,4,-2,16,28
214,708,0,0,14,37
544,708,0,0,10,95
1056,708,0,0,3,28
710,710,-2,2,19,43
940,712,0,0,17,39
172,714,0,0,4,30
1046,714,0,0,5,67
462,716,0,0,14,49
840,720,0,0,19,44
1090,720,0,0,3,30
710,724,0,-2,19,84
802,722,-2,0,15,90
952,726,0,-2,23,38
1000,724,0,0,20,58
1090,720,-2,4,8,35
594,726,0,0,4,119
574,728,0,0,1,27
156,732,0,-2,16,48
676,730,0,0,2,19
586,732,0,0,4,18
650,734,-2,0,3,8
680,734,0,0,1,20
550,732,-4,4,9,17
984,736,0,0,12,36
358,738,0,0,16,57
596,738,0,0,1,11
696,742,2,-2,12,15
1072,740,0,0,3,38
624,742,-6,0,12,18
624,742,0,0,0,8
464,744,0,0,12,80
598,742,2,2,6,14
712,746,0,-2,22,51
144,746,0,0,13,98
178,750,-2,-2,5,30
884,750,-2,0,15,42
216,774,-12,-20,22,33
786,756,0,0,10,41
878,756,0,0,9,52
780,760,0,0,10,39
1068,758,0,2,8,29
490,762,0,0,3,24
754,790,-20,-26,23,30
438,766,0,0,6,43
242,768,0,0,20,33
802,768,0,0,5,46
288,770,0,0,20,85
1048,768,0,2,13,27
1070,770,-2,0,22,33
324,772,0,0,21,54
466,774,0,-2,11,42
808,772,0,0,7,69
216,774,-2,2,15,31
180,782,2,-4,16,26
256,780,0,-2,20,70
932,778,0,0,20,45
1046,778,0,0,8,34
1100,780,0,-2,11,71
208,764,6,18,17,34
398,782,-2,0,20,43
316,786,0,0,21,49
736,788,-2,0,1,7
330,794,-2,0,23,49
754,790,-2,4,4,9
846,796,0,0,7,48
1098,796,-2,0,17,69
22,802,0,-4,15,255
144,830,-2,-30,22,39
180,788,0,12,11,21
754,790,8,10,16,23
246,806,0,0,17,39
370,806,0,0,8,36
784,808,0,0,7,24
824,808,0,0,16,57
978,808,0,0,23,57
426,826,-4,-16,16,24
1074,816,-2,-6,14,28
784,808,16,6,23,39
360,818,0,0,6,40
562,820,0,-2,8,27
620,822,2,-2,2,18
948,820,0,0,18,52
562,820,0,2,5,20
628,826,2,-4,3,6
142,824,0,0,9,20
194,828,0,-2,14,89
