# x, y, dx, dy, 1st best, 2nd best
190,24,2,-2,7,47
434,24,0,-2,15,20
476,46,-18,-24,10,13
682,22,-2,0,10,22
110,30,2,-2,4,68
388,28,4,2,12,15
598,36,28,-6,19,39
476,46,-32,-14,15,26
538,34,0,-2,16,24
598,36,18,-4,19,43
682,22,16,10,18,24
1078,30,-2,2,7,31
412,52,-30,-18,17,22
476,46,-6,-12,11,16
274,38,0,-2,9,28
386,40,-10,-4,20,25
510,36,0,0,5,7
538,34,-4,2,2,8
598,40,4,-2,17,26
528,40,-2,2,2,10
136,46,2,-2,2,68
142,46,2,-2,10,68
900,30,-8,16,19,29
164,52,2,-2,10,44
1064,48,-2,2,14,38
690,52,0,0,10,51
218,56,2,-2,6,63
254,58,2,-4,6,11
690,52,4,2,19,52
618,70,-26,-14,23,39
88,60,0,-2,7,39
790,62,-6,-4,12,25
210,64,2,-2,5,120
248,64,0,-2,1,21
790,62,-2,0,4,33
80,66,0,-2,14,57
98,66,0,-2,11,55
110,66,2,-2,8,50
182,66,2,-2,11,64
188,70,0,-2,20,53
208,70,2,-2,11,96
242,70,0,-2,8,11
606,96,-16,-28,14,18
238,74,2,-2,9,13
438,68,-8,4,18,28
1094,72,0,0,5,11
618,70,-8,4,17,31
618,70,0,4,13,24
720,72,8,4,23,35
758,78,-12,-2,18,26
136,80,2,-2,12,50
906,86,-10,-8,22,186
794,78,-2,2,5,12
758,78,10,4,13,36
798,82,0,0,1,8
854,78,-2,4,20,43
1038,82,0,0,14,26
550,98,8,-12,2,6
594,108,-10,-22,5,9
140,90,2,-2,10,64
822,92,-2,0,1,9
860,100,0,0,4,20
130,104,2,-2,7,53
818,100,-8,2,15,31
62,106,0,-2,21,77
76,106,0,-2,21,54
138,106,2,-2,6,56
342,96,-8,8,6,10
70,108,2,-2,9,58
102,108,0,-2,18,147
860,100,-8,6,12,16
768,100,-18,8,23,30
1082,124,8,-14,22,37
606,96,16,16,14,19
1082,124,4,-10,20,25
406,138,20,-16,12,15
1082,124,8,0,10,39
796,116,-8,10,23,118
1008,128,2,-2,15,44
300,126,-6,2,4,21
366,118,2,12,6,9
840,160,-28,-30,17,38
734,126,-10,6,16,20
350,102,-32,32,2,6
1002,136,2,-2,11,34
874,138,-2,2,9,24
1084,140,0,2,12,45
70,146,2,-2,9,51
150,152,2,-2,22,111
300,126,12,24,9,12
128,154,0,-2,10,36
138,156,2,-2,3,39
172,160,0,-2,3,22
300,126,-22,32,7,10
888,158,8,2,16,56
168,164,0,-2,12,25
1084,140,-24,22,16,162
100,166,2,-2,6,52
982,168,2,-2,10,24
166,168,0,0,9,15
156,180,4,-8,12,17
214,176,4,0,9,13
272,176,-14,0,8,10
94,180,2,-2,11,57
272,176,-10,4,8,10
342,172,-18,8,15,115
218,184,-8,-2,18,26
946,188,0,-4,7,13
126,196,2,-2,11,81
154,200,0,-4,2,16
260,194,-2,4,14,34
790,180,-8,20,18,58
260,194,6,8,16,32
238,204,-8,2,12,27
216,212,-2,-4,13,17
216,212,-8,-2,10,14
226,212,6,2,10,20
946,188,14,30,16,21
68,220,2,0,16,48
1006,224,8,-4,10,65
914,222,6,2,14,82
68,230,2,-2,5,33
132,232,0,-2,5,22
970,230,-2,0,2,41
954,230,0,2,3,4
644,232,-4,2,22,255
222,242,-12,-6,5,11
302,238,0,0,7,25
332,232,10,6,11,61
206,234,-20,6,11,18
1072,224,-24,18,17,74
74,254,2,-2,4,20
488,252,-14,0,18,255
118,262,2,-8,17,27
84,260,0,-2,5,17
184,256,2,2,7,12
118,262,-2,-2,6,26
82,264,2,-2,5,41
960,276,-18,-14,22,31
1006,260,0,2,6,19
112,270,0,-2,5,32
184,256,-4,14,12,30
924,270,2,6,18,43
184,256,-28,28,14,26
92,296,0,-2,18,44
894,292,-2,4,16,65
924,270,-2,26,19,40
950,322,2,-22,22,50
154,306,0,2,11,16
950,322,30,0,6,12
970,328,-4,-2,14,20
946,344,10,-16,11,20
172,334,10,-2,9,18
26,338,-2,0,14,58
154,306,-18,32,7,9
142,318,-18,24,11,24
806,346,-6,-4,16,83
156,348,-22,6,8,19
1016,360,4,-4,13,32
26,358,0,0,3,8
946,344,-26,16,22,53
986,364,0,0,9,13
168,362,28,4,17,23
986,364,-26,10,21,28
46,376,-4,4,9,25
40,390,0,-6,10,19
104,412,16,-28,20,255
42,396,0,2,11,34
772,432,-2,-24,17,29
1050,408,8,2,12,104
1020,414,-16,10,16,255
130,430,0,4,11,15
862,424,-18,18,13,255
302,464,-20,-6,16,46
902,462,0,0,7,47
102,478,2,2,10,14
1004,480,0,0,6,61
54,488,-4,4,5,12
576,498,14,-4,10,32
154,500,-16,-4,14,38
1062,534,4,-28,7,13
1062,534,2,-22,7,17
1092,512,-2,4,21,45
56,518,2,0,12,15
766,502,4,20,15,26
766,502,0,26,23,32
1094,534,0,2,10,132
908,536,0,2,4,7
1092,512,-20,26,15,27
892,534,4,8,6,13
1084,514,-18,28,17,23
66,544,-6,0,12,15
858,548,0,-4,12,16
874,524,14,22,10,15
34,548,2,0,18,27
1008,552,0,0,20,79
1062,534,-16,18,16,39
928,558,-8,-4,4,5
976,560,-2,2,2,28
676,574,4,-8,6,22
70,586,12,-18,10,14
1054,568,2,0,8,38
976,560,16,10,19,30
1008,568,0,2,3,10
676,574,28,-2,10,20
1096,570,0,2,18,25
676,574,-18,4,12,21
1020,580,4,-2,9,18
676,574,22,6,21,29
1042,582,0,-2,4,5
976,560,24,26,16,22
1040,586,0,0,3,4
1098,586,0,0,0,20
70,586,-4,2,2,8
1098,586,2,14,5,17
1038,612,0,-2,2,16
596,608,18,8,15,22
694,622,10,-4,12,20
1028,622,-4,-2,12,19
838,630,16,-8,12,26
666,628,4,-2,17,63
838,630,6,-4,12,34
26,626,2,2,11,16
164,644,-10,-16,15,255
776,606,-24,30,18,26
596,608,-14,30,18,23
1016,636,0,2,11,22
542,648,32,-8,11,14
36,638,-8,6,16,20
546,642,-12,8,12,15
28,650,8,4,7,13
164,644,2,10,16,255
866,654,0,0,10,43
542,648,-14,14,12,29
424,676,-4,-2,10,37
52,680,8,-4,11,14
1004,698,0,-12,14,74
1004,698,-6,0,21,40
494,692,4,10,5,12
556,710,2,-8,15,24
22,702,12,6,13,19
542,708,0,0,1,17
442,726,8,-14,13,22
22,702,10,12,17,25
668,726,0,2,17,41
1048,728,-14,0,4,40
1048,728,6,0,2,12
1074,728,10,0,8,104
