# x, y, dx, dy, 1st best, 2nd best
812,22,0,0,6,16
1006,24,-2,-2,17,32
486,26,2,-2,9,23
628,28,0,-2,6,32
810,28,0,-2,8,20
1012,28,-2,-2,15,22
456,40,0,-6,8,13
622,34,0,0,12,24
696,38,0,-2,6,11
1088,36,0,0,15,68
308,38,0,0,8,77
344,42,-10,-4,9,18
308,38,6,2,11,31
840,40,0,0,8,16
262,44,0,-2,12,43
454,48,0,-6,12,15
696,38,12,4,19,26
244,46,6,-2,21,27
216,46,-2,0,10,51
244,46,-2,0,19,41
908,56,2,-2,6,28
952,58,-2,-4,18,63
1092,56,0,-2,5,66
444,60,0,-4,5,21
800,56,0,0,10,18
806,58,0,-2,11,50
642,60,4,-2,11,50
924,58,2,0,8,25
444,60,-2,0,2,21
1090,62,0,-2,8,70
748,64,-2,-2,13,46
992,64,0,-2,9,66
1010,64,0,-2,15,86
738,66,2,-2,16,25
826,80,4,-16,13,21
224,68,-2,-2,11,102
332,80,-22,-12,20,34
300,74,0,-2,3,27
744,72,0,0,3,26
460,74,-2,0,13,50
664,76,0,-2,1,22
832,72,-4,2,11,16
960,78,-2,-4,8,39
216,76,-2,0,11,85
408,78,-2,0,10,35
510,80,-2,-2,6,19
246,82,-2,-2,15,100
836,76,-2,6,18,41
1082,84,0,-2,11,56
408,86,0,-2,16,40
438,86,-2,-2,4,20
1098,86,0,-2,10,57
748,116,10,-30,22,31
632,112,-8,-24,9,26
678,88,2,0,15,21
1028,90,-2,-2,18,60
514,90,4,0,14,30
530,92,0,-2,5,19
572,96,-4,-6,16,27
726,96,0,-6,11,15
584,94,0,-2,8,18
632,112,-6,-20,11,26
986,92,-2,0,22,89
722,96,0,-2,3,11
788,96,0,-2,5,20
1016,96,0,-2,8,63
822,100,0,-2,4,17
430,100,-2,0,2,14
290,108,-6,-6,9,16
290,108,0,-4,6,19
740,110,-10,-4,20,31
992,106,-2,0,12,49
290,108,0,0,5,20
740,110,0,-2,3,33
402,112,-2,-2,5,33
1014,112,0,-2,13,50
1038,114,0,-2,7,54
748,116,2,-2,7,33
426,118,-2,-2,1,12
236,122,-2,-2,7,36
412,120,0,0,18,101
1026,122,0,-2,2,28
976,126,0,-2,0,11
1022,124,-2,0,6,26
238,128,-2,-2,9,26
778,130,-2,-2,5,13
238,132,-2,-2,9,36
418,138,0,-8,12,17
802,132,0,-2,7,28
1018,134,0,-2,2,44
776,136,0,-2,1,15
910,134,-4,0,15,46
1022,136,0,-2,2,46
1028,136,0,-2,7,56
1096,136,0,-2,9,58
974,136,0,0,8,18
808,142,0,-4,9,39
756,160,-8,-20,5,12
972,144,0,-2,3,12
1086,144,0,-2,5,56
756,160,14,-16,9,14
416,148,0,-2,4,11
756,160,-6,-12,4,9
894,144,-14,4,17,32
264,154,0,-4,19,52
1082,154,0,-2,17,123
322,156,2,-2,12,25
224,158,-2,-2,5,51
230,158,-2,-2,11,69
322,156,-6,0,18,37
1038,158,0,-2,7,58
322,156,-2,2,7,28
218,160,0,0,22,38
286,164,-4,-2,7,19
676,180,-2,-14,16,32
1046,168,0,-2,7,56
298,172,2,-2,13,27
1058,172,0,-2,6,48
554,192,10,-20,11,22
610,194,2,-22,8,13
644,174,-2,0,23,44
756,200,8,-26,8,10
322,156,-16,20,12,27
1020,180,0,-2,8,58
294,174,32,6,15,27
966,178,0,2,16,21
584,188,0,-6,5,7
1094,182,-2,0,12,32
820,186,0,-2,8,42
958,186,0,-2,4,26
1022,186,0,-2,12,71
344,184,-2,2,6,31
402,190,-2,-2,8,16
878,192,-4,-4,10,24
956,190,0,-2,5,23
676,180,-2,10,19,27
878,192,0,-2,5,37
962,192,0,-2,4,21
1086,192,0,-2,6,42
758,194,0,-2,4,12
276,194,-2,0,13,35
