# x, y, dx, dy, 1st best, 2nd best
268,22,0,0,7,87
350,24,0,0,4,40
568,24,0,0,6,23
832,22,2,2,20,72
216,26,0,0,4,53
1018,26,-2,0,3,9
196,28,0,0,3,58
402,28,0,0,3,23
810,30,0,-2,10,22
226,30,0,0,4,40
268,30,0,0,8,78
654,30,-2,0,4,26
294,32,0,0,3,66
300,32,0,0,3,62
740,32,-2,0,20,43
660,36,2,-2,3,23
354,38,0,0,6,42
1012,38,0,0,1,7
598,42,0,-2,14,27
660,36,16,4,13,17
874,42,0,0,5,16
232,44,0,0,8,60
240,44,0,0,2,42
1058,44,0,0,21,125
680,48,-4,0,14,30
982,50,0,-2,8,22
210,50,0,0,1,87
328,54,0,0,5,67
336,54,0,0,2,61
554,52,0,2,7,16
978,54,0,0,1,17
384,66,2,-10,11,17
590,58,0,-2,17,30
708,58,0,-2,5,18
780,58,-2,-2,18,37
282,58,0,0,4,72
814,56,2,2,11,19
898,58,0,0,13,66
200,60,0,0,0,42
552,60,0,0,3,16
726,64,-2,-4,11,23
814,56,-10,4,21,29
158,62,0,0,3,100
190,62,0,0,1,25
182,64,-2,0,8,22
314,64,0,0,9,36
384,66,0,-2,3,19
198,66,2,0,14,55
584,66,0,0,1,9
190,68,0,0,3,40
824,68,0,0,2,13
664,78,0,-8,16,31
320,72,0,0,3,50
326,72,0,0,6,69
778,68,-2,4,12,20
830,72,0,0,5,16
970,70,-2,2,10,26
316,74,0,0,5,69
442,78,-6,-4,13,33
580,76,0,-2,7,13
666,88,6,-14,15,32
1002,74,-2,0,5,27
1042,80,-16,-6,15,28
234,78,0,0,1,63
848,106,-2,-28,13,22
996,78,-2,0,18,41
210,80,0,0,4,81
278,82,0,0,6,68
284,84,0,0,4,71
1090,90,4,-6,14,21
760,90,0,-4,8,23
774,78,-4,8,22,35
976,86,0,0,5,60
372,88,0,0,3,18
478,98,-32,-10,19,38
460,86,-4,2,11,21
510,92,-2,-2,7,18
226,92,0,0,4,44
362,106,6,-14,20,25
572,90,-2,2,6,9
158,94,0,0,6,58
754,94,-2,0,6,14
478,98,4,0,11,23
570,96,-2,2,6,15
870,98,2,0,14,21
192,100,0,0,2,79
366,100,0,0,2,21
460,86,-14,14,15,25
260,102,0,0,4,60
866,92,-6,10,11,14
362,106,0,-2,5,14
440,104,0,0,9,18
964,104,0,0,1,21
754,94,-20,12,6,14
