# x, y, dx, dy, 1st best, 2nd best
316,22,0,0,3,102
828,22,0,0,2,63
534,24,0,0,4,98
636,24,-2,0,16,59
712,24,0,0,6,102
728,24,0,0,4,88
786,24,0,0,3,63
244,26,0,0,9,54
326,26,0,0,4,37
924,26,0,0,9,59
422,28,0,0,1,71
464,28,0,0,7,44
828,28,0,0,3,20
908,28,0,0,12,90
282,30,0,0,3,63
660,30,0,0,1,60
192,32,0,0,6,38
208,32,0,0,2,45
634,32,0,0,0,44
200,34,0,0,0,39
420,34,0,0,1,69
560,36,0,-2,21,75
664,34,0,0,2,46
776,34,0,0,4,87
720,36,0,0,3,71
732,36,0,0,3,72
386,38,0,0,7,56
538,38,0,0,3,62
972,38,0,0,3,69
1022,38,0,0,0,92
256,40,0,0,7,90
480,40,0,0,1,53
818,40,0,0,4,18
152,42,0,0,0,51
654,42,0,0,1,90
844,42,0,0,2,24
334,44,0,0,1,38
746,44,0,0,3,87
674,46,0,0,2,99
694,46,0,0,1,42
1028,46,0,0,3,67
558,48,0,0,8,71
944,48,0,0,4,47
216,50,0,0,4,37
280,52,0,0,2,59
582,52,0,0,7,73
596,54,0,0,4,87
186,56,0,0,2,81
306,58,-2,-2,16,61
520,56,-2,0,15,62
512,58,0,0,3,44
624,58,0,0,6,92
930,58,0,0,6,61
422,60,0,0,2,27
894,60,0,0,4,33
900,60,0,0,3,59
470,62,0,0,5,55
860,62,0,0,3,28
968,62,0,0,6,67
1030,62,0,0,4,68
296,64,0,0,4,40
380,64,0,0,3,88
796,64,0,0,3,70
890,64,0,0,5,38
902,64,0,0,3,42
154,66,0,0,3,102
176,66,0,0,3,60
418,66,0,0,10,96
848,66,6,0,18,29
630,68,0,0,1,94
714,68,0,0,6,75
748,68,0,0,7,73
164,70,0,0,2,18
252,68,0,2,23,69
300,70,0,0,2,42
592,68,0,2,19,25
954,70,0,0,6,47
1030,70,0,0,6,64
156,72,0,0,2,20
426,70,0,2,18,35
1058,72,0,0,4,66
692,74,0,0,5,42
900,72,-2,2,20,52
298,76,0,0,4,59
816,76,0,0,0,13
1076,76,-2,0,22,81
414,78,0,0,6,94
560,78,0,0,3,66
810,78,0,0,3,25
288,80,0,0,3,60
774,80,0,0,6,85
496,82,0,0,4,78
1028,82,0,0,3,33
212,84,0,0,1,73
514,84,0,0,11,72
458,86,0,0,4,84
928,86,0,0,0,41
970,86,0,0,17,79
464,88,0,0,8,91
510,88,0,0,3,83
650,88,0,0,2,83
1024,88,0,0,2,27
322,90,0,0,3,22
358,92,0,0,1,27
856,92,0,0,3,54
1022,92,-2,2,16,29
360,96,0,0,3,25
578,98,0,0,5,85
666,98,0,0,0,104
838,98,0,0,1,27
888,98,0,0,5,65
192,100,0,0,6,87
710,100,0,0,2,62
138,102,0,0,5,94
232,102,0,0,6,59
728,102,0,0,6,71
746,102,0,0,2,73
292,104,0,0,5,56
304,104,0,0,7,63
332,104,0,0,5,72
676,104,0,0,1,115
172,106,0,0,10,87
780,106,0,0,4,46
208,108,0,0,2,55
386,108,0,0,7,85
608,108,0,0,2,56
808,108,0,0,4,79
916,108,0,0,2,67
508,110,0,0,3,85
872,110,0,0,1,44
156,112,0,0,12,93
374,112,0,0,3,67
504,112,0,0,5,84
454,114,0,0,5,74
668,114,0,0,1,84
676,114,0,2,19,109
754,116,0,0,3,87
1060,120,0,0,9,70
208,122,0,0,3,55
912,122,0,0,0,67
1032,122,0,0,3,58
570,124,0,0,9,64
958,124,0,0,6,52
460,126,0,0,4,75
522,126,0,0,1,89
966,126,0,0,4,97
284,128,0,0,4,81
980,128,0,0,5,55
456,130,0,0,3,83
736,130,0,0,5,83
278,132,0,0,6,73
388,132,0,0,14,79
452,132,0,0,6,63
724,132,0,0,7,56
752,132,0,0,4,79
886,132,0,0,3,78
972,132,0,0,2,59
194,134,0,0,3,42
514,134,0,0,6,102
852,134,0,0,4,45
916,134,0,0,3,89
324,136,0,0,5,56
484,136,0,0,3,90
620,136,0,0,6,56
1028,140,2,-4,15,21
438,138,0,0,5,64
578,140,0,0,6,112
858,140,0,0,5,45
948,140,0,0,6,61
1020,140,0,0,0,26
322,142,0,0,5,72
486,142,0,0,3,78
554,142,0,0,3,70
286,144,0,0,3,38
382,144,0,0,2,81
752,144,0,0,5,57
822,144,-2,0,23,49
532,146,0,0,8,85
596,146,0,0,12,82
388,148,0,0,4,62
192,150,0,0,3,46
252,150,0,0,1,49
616,150,0,0,6,56
974,150,0,0,3,86
1014,150,0,0,3,27
668,152,0,0,4,70
952,152,0,0,5,76
696,154,0,0,3,58
560,156,0,0,10,77
172,158,0,0,2,53
236,158,0,0,5,65
1068,158,0,0,18,255
902,160,0,0,4,57
308,162,-2,0,16,74
890,162,0,0,5,62
990,162,0,0,1,104
442,164,0,0,16,49
1002,164,0,0,3,45
318,166,0,0,8,72
834,166,0,0,5,111
284,168,0,0,4,41
334,168,0,0,1,55
444,168,0,0,13,48
664,168,0,0,4,75
828,168,0,0,3,80
194,170,0,0,2,83
324,170,0,0,7,58
364,170,0,0,4,58
390,170,0,0,3,48
280,172,0,0,5,47
190,174,0,0,3,104
790,174,0,0,2,10
234,176,0,0,2,62
482,176,0,0,4,84
736,176,0,0,6,41
180,178,0,0,3,55
794,198,2,-20,8,10
1016,178,0,0,1,35
908,180,0,0,4,69
926,180,0,0,3,86
568,182,0,0,2,48
978,182,0,0,3,65
540,184,0,0,4,41
1026,184,0,0,2,61
860,186,0,0,3,80
894,186,0,0,2,62
634,188,0,0,5,65
226,190,0,0,4,68
570,190,0,0,2,53
578,192,0,-2,17,70
748,190,0,0,2,18
456,192,0,0,5,77
758,192,0,0,3,18
304,194,0,0,6,78
720,194,0,0,2,21
794,198,-6,-4,6,9
922,194,0,0,1,51
340,196,0,0,5,68
676,196,0,0,3,54
726,196,0,0,4,20
794,198,-2,-2,2,9
948,196,0,0,6,57
978,196,0,0,2,86
1020,196,0,0,4,46
212,198,0,0,2,102
356,198,2,0,23,74
738,198,0,0,5,12
190,200,0,0,2,59
744,194,-2,6,9,12
896,200,0,0,1,43
482,202,0,0,5,69
556,202,0,0,4,53
584,202,0,0,6,55
458,204,0,0,5,61
896,204,0,0,6,36
280,206,0,0,7,76
1026,206,0,0,6,14
508,208,0,0,1,33
622,242,-12,-32,20,35
950,210,0,0,5,67
140,212,0,0,2,31
840,214,0,-2,11,23
962,212,0,0,8,68
460,214,0,0,4,57
620,216,-2,-2,19,25
1058,214,0,0,4,83
140,212,0,8,23,40
254,220,0,0,5,71
448,224,0,0,1,20
1066,224,0,0,2,56
200,226,0,0,4,99
252,226,0,0,6,105
286,226,0,0,11,80
910,226,0,0,1,49
934,226,0,0,0,50
228,228,0,0,5,47
998,228,0,0,1,50
748,230,0,0,2,16
322,232,0,0,1,30
902,232,0,0,3,67
956,232,0,0,1,49
292,234,0,0,5,81
524,234,0,0,0,15
896,234,0,0,8,99
1066,234,0,0,1,54
204,234,2,2,23,98
686,238,2,-2,18,28
880,236,0,0,5,54
962,236,0,0,1,49
554,238,0,0,2,23
126,238,0,2,19,44
560,240,0,0,3,22
738,226,-26,14,7,9
136,242,0,0,1,52
478,242,0,0,0,7
622,242,-2,0,9,16
738,226,-32,16,5,7
1010,242,0,0,4,29
390,244,0,0,6,33
814,238,-28,6,7,11
840,244,0,0,4,11
376,244,0,2,11,30
1068,246,0,0,3,56
294,248,0,0,7,64
482,248,0,0,1,5
1034,248,0,0,1,34
162,250,0,0,2,112
322,250,0,0,2,86
478,242,-2,8,7,9
682,250,0,0,0,17
134,252,0,0,2,46
442,252,0,0,3,16
524,234,-20,18,8,13
664,252,0,0,4,21
830,250,2,2,3,10
594,254,0,0,1,15
164,256,0,0,4,103
172,258,0,0,5,83
622,260,2,-2,4,16
692,258,0,0,5,16
794,258,-2,0,9,16
838,258,0,0,0,11
1026,258,0,0,0,33
490,258,-2,2,3,4
668,260,0,0,1,11
798,260,0,0,2,7
966,260,0,0,3,58
998,260,0,0,3,32
1034,254,-2,6,23,30
128,262,0,0,2,29
842,262,0,0,1,16
878,262,0,0,1,22
884,262,0,0,2,42
930,262,0,0,2,24
920,264,2,0,20,53
588,266,0,0,1,22
128,268,0,0,4,27
566,266,0,2,6,9
982,268,0,0,6,74
592,270,0,0,2,21
482,264,-18,8,6,9
478,242,-2,30,10,15
348,276,0,0,4,12
142,278,0,0,1,41
218,278,0,0,6,79
294,278,0,0,5,88
394,278,0,0,0,10
824,278,0,0,3,38
260,280,0,0,1,65
386,280,-2,2,6,11
850,290,-28,-8,19,31
144,284,0,0,3,45
250,284,-2,0,9,32
172,286,0,0,4,70
260,286,-2,0,13,33
374,286,0,0,0,11
324,288,-2,0,8,25
1022,288,0,0,4,47
248,290,0,0,1,26
370,290,0,0,4,7
440,290,0,0,4,6
850,290,0,0,3,15
994,290,0,0,2,83
364,292,0,0,2,9
858,294,2,-2,7,15
212,292,2,2,17,23
272,294,0,0,2,88
350,294,2,2,5,10
1064,298,0,0,0,54
1072,300,0,0,2,58
420,274,-2,28,4,10
928,302,0,0,0,25
144,304,0,0,2,37
596,304,0,0,23,91
1012,304,0,0,6,66
398,308,0,0,5,16
164,310,0,0,2,70
172,308,2,2,13,70
394,310,0,0,7,17
942,312,0,-2,10,28
1040,310,0,0,2,54
138,312,0,0,4,49
306,320,2,-8,8,10
124,316,0,0,1,33
630,316,0,0,10,67
944,316,0,0,0,18
720,318,0,0,0,13
748,320,4,-2,6,13
122,320,0,0,0,32
306,320,2,0,5,11
702,318,0,2,4,16
744,320,0,0,0,6
772,320,0,0,5,9
822,320,-2,0,7,18
238,322,0,0,1,144
302,316,-2,6,11,19
608,322,0,0,7,65
726,322,0,0,0,16
738,322,0,0,1,5
808,320,-4,2,5,16
808,320,4,2,13,20
732,324,0,0,0,10
750,324,0,0,1,12
120,326,0,0,2,45
146,326,0,0,3,61
796,328,2,-2,10,15
1070,326,0,0,2,40
1094,326,0,0,2,37
326,314,4,14,8,13
808,320,-26,8,9,16
126,330,0,0,3,62
250,330,0,0,6,40
1064,330,0,0,0,40
604,332,0,0,14,81
918,360,-12,-26,16,20
1030,336,2,0,20,65
218,338,2,0,6,46
264,338,0,0,5,74
458,338,0,0,2,9
982,338,0,0,0,103
488,340,0,0,2,9
532,340,0,0,4,11
548,344,0,0,2,19
670,342,0,2,9,48
988,344,0,0,3,105
1048,344,0,0,1,35
162,346,0,0,1,28
170,346,0,0,2,29
438,346,-2,0,2,9
862,346,0,0,6,82
402,354,26,-6,7,10
1020,350,0,0,1,29
288,352,0,0,2,8
402,354,-12,-2,18,25
554,352,0,0,2,31
660,350,0,2,9,26
940,352,2,0,4,6
402,354,2,0,7,22
478,354,-2,0,3,17
566,354,0,0,1,39
858,354,0,0,14,132
888,354,0,0,4,53
732,356,0,0,16,54
480,358,0,0,3,11
664,360,2,-2,11,15
664,360,6,-2,21,27
718,358,0,0,16,54
128,360,0,0,12,63
208,360,0,0,0,63
382,360,0,0,5,44
544,358,0,2,23,44
1038,360,0,0,1,29
168,362,0,0,3,41
424,362,0,0,2,27
504,364,-6,-2,14,26
288,352,4,12,5,7
674,364,0,0,7,37
962,364,0,0,6,17
136,368,0,0,3,54
290,390,-10,-20,5,7
840,370,2,0,8,18
26,362,4,10,15,26
250,372,0,0,1,32
1058,374,0,-2,19,60
200,374,0,0,2,33
254,374,0,0,3,33
1022,374,0,0,0,29
392,378,0,0,2,28
284,380,0,0,0,3
762,380,0,0,0,12
788,380,0,0,1,11
806,382,-4,-2,10,15
944,380,0,0,0,4
984,382,0,-2,8,35
762,380,18,2,16,20
806,382,0,0,2,15
1020,382,0,0,0,30
50,390,2,-6,7,24
766,384,-2,0,10,17
952,378,0,6,7,10
156,386,0,0,6,50
944,386,0,0,0,4
1022,386,0,0,5,31
966,388,0,0,3,32
50,390,2,0,3,24
800,388,0,2,20,39
552,392,4,0,16,30
946,392,0,0,1,3
42,400,-2,-6,12,31
150,394,0,0,7,49
802,394,0,0,6,44
434,396,0,0,0,5
458,396,0,0,0,21
678,396,0,0,0,24
80,398,0,0,5,12
188,398,0,0,1,36
374,398,0,0,5,13
408,400,0,-2,3,11
544,400,-2,0,3,22
1026,400,0,0,1,26
80,398,-2,4,5,8
198,402,0,0,1,32
408,400,10,2,4,11
374,418,8,-14,6,9
554,404,0,0,1,18
874,404,0,0,2,5
878,404,0,0,0,5
490,406,-2,0,18,28
662,404,2,2,5,21
832,408,0,0,8,70
1028,408,0,0,3,27
280,406,0,4,5,8
722,408,-2,2,11,19
1016,412,0,0,2,23
660,412,0,2,6,28
784,414,0,0,4,68
222,416,0,0,0,33
230,416,0,0,2,38
280,406,0,10,6,11
492,416,0,0,2,46
50,390,22,28,18,23
50,390,26,28,14,21
374,418,-4,0,6,9
560,420,0,-2,5,8
958,418,0,0,2,5
664,420,-2,0,7,18
1012,422,0,0,0,34
1036,424,0,0,11,90
120,428,0,-2,7,16
218,426,0,0,1,32
764,426,0,0,4,70
788,426,0,0,12,96
1046,426,0,0,9,82
184,430,0,0,3,59
344,448,2,-18,11,18
370,422,-2,8,12,17
714,454,-26,-24,18,26
900,436,-4,-6,15,20
912,430,0,0,6,32
972,430,0,0,1,18
120,434,0,-2,5,12
482,432,0,0,2,48
1006,432,0,0,1,35
302,434,0,0,21,100
344,448,2,-14,12,15
808,434,0,0,1,47
458,436,0,0,8,65
900,436,2,0,6,11
226,438,0,0,0,18
452,438,0,0,5,62
278,438,0,2,3,12
420,440,0,0,5,70
224,442,0,0,2,18
710,442,-2,0,19,66
520,442,2,2,15,121
750,444,0,0,4,38
866,444,0,0,0,23
156,444,0,2,16,22
278,444,0,2,4,15
406,444,0,2,7,44
674,446,0,0,2,44
802,446,0,0,1,47
508,448,0,0,1,52
720,448,0,0,1,39
468,450,0,0,4,26
304,452,0,0,4,31
464,452,0,0,2,22
174,472,-16,-18,6,15
406,454,0,0,6,35
754,452,4,2,13,27
764,452,0,2,10,24
838,454,0,0,1,28
782,456,0,0,2,19
788,454,0,2,9,16
962,456,0,0,3,8
488,456,0,2,6,51
844,458,-2,0,9,22
230,460,0,0,0,23
412,460,0,0,4,37
488,456,-4,6,16,57
902,462,0,0,4,40
348,464,0,0,2,37
348,464,-4,2,13,38
356,468,2,-2,8,28
444,466,0,0,1,37
684,468,0,-2,8,23
804,466,2,0,18,45
960,470,0,-4,10,13
444,466,-10,2,19,25
904,470,0,-2,10,43
220,470,0,0,5,27
276,470,0,0,2,11
174,472,0,0,6,13
876,482,-8,-8,4,6
1006,474,0,0,1,24
230,476,0,0,0,17
960,476,0,0,2,17
310,470,0,8,17,25
528,480,0,0,4,42
870,480,0,0,0,8
1004,480,0,0,2,29
402,482,-2,0,4,29
510,490,6,-8,12,18
712,482,0,0,3,10
780,482,-14,0,14,24
780,482,-2,0,6,16
876,482,0,0,1,7
202,484,0,0,9,60
718,484,0,0,0,11
902,484,2,0,6,31
962,484,0,0,1,26
32,464,18,22,10,14
