# x, y, dx, dy, 1st best, 2nd best
758,22,-4,0,15,91
708,22,0,2,10,61
998,24,0,2,20,69
250,26,2,2,21,81
708,22,0,6,21,50
834,28,0,0,18,33
262,30,0,0,20,50
618,30,0,2,5,19
1010,32,0,2,12,77
450,34,0,2,7,18
698,34,0,2,17,38
836,34,-2,2,11,14
302,36,-2,2,4,23
302,36,2,2,12,17
522,28,-30,10,17,29
448,40,0,2,4,11
712,40,-2,2,8,21
904,44,-2,2,5,21
324,40,18,8,18,60
324,40,22,8,20,56
980,64,4,-16,22,31
922,48,-2,2,4,18
242,50,0,2,9,30
258,50,0,2,6,29
234,52,0,2,5,23
486,52,-2,2,16,21
224,54,0,2,5,23
742,56,0,2,16,86
980,64,0,-6,13,28
828,62,0,-2,10,16
1078,58,0,2,14,83
220,62,4,0,15,46
460,58,-2,4,17,48
998,60,-2,2,19,60
408,64,0,0,8,21
644,60,0,4,13,37
614,98,8,-30,15,19
456,68,-2,2,23,63
958,68,-4,2,7,20
958,68,0,2,8,32
294,70,-2,2,5,16
486,72,6,0,23,39
604,94,6,-22,22,119
662,70,-4,2,10,27
826,72,0,0,7,10
246,72,0,2,14,91
468,70,-2,4,18,56
486,72,2,2,12,38
404,74,0,2,6,20
1088,74,-2,2,16,92
1044,78,0,2,11,63
744,108,10,-26,20,29
1086,80,0,2,12,91
674,82,0,2,14,47
580,92,-2,-4,22,42
1016,86,0,2,6,62
196,90,0,0,15,52
428,90,0,0,5,11
536,84,-12,6,23,31
720,86,0,4,10,37
544,90,-2,2,7,20
556,88,0,4,8,29
548,90,0,4,8,19
702,94,-2,0,11,23
720,86,-2,8,11,34
426,96,0,0,3,9
580,92,0,4,0,29
786,96,0,0,3,16
1002,94,0,2,21,73
814,98,0,2,6,21
1080,98,0,2,14,73
394,100,0,2,4,22
506,100,-2,2,13,27
278,102,0,2,4,6
574,102,-2,2,5,18
614,98,-4,8,3,8
808,106,0,0,4,19
1040,104,0,2,21,76
392,106,2,2,16,24
422,108,0,2,2,10
744,108,-4,2,4,29
918,112,-2,-2,18,38
1002,108,0,2,8,67
450,124,8,-12,18,37
614,98,-4,14,4,5
744,108,2,4,8,33
1028,110,0,2,9,58
496,114,-2,0,15,41
976,114,-2,2,8,21
896,120,0,0,8,26
592,136,4,-14,16,29
942,124,-6,0,9,23
218,124,0,2,21,60
800,126,0,2,10,32
968,148,2,-20,23,33
1090,126,0,2,22,32
942,124,-4,6,10,22
586,112,-16,20,17,25
1006,130,0,2,8,36
492,150,2,-16,20,30
592,136,0,-2,7,18
772,132,0,2,2,13
1010,132,0,2,8,53
408,146,2,-10,15,19
806,134,-2,2,8,35
806,134,-4,6,13,32
224,140,0,2,18,67
258,146,0,2,4,37
378,154,-2,-6,23,58
406,162,4,-14,13,17
228,152,0,-2,12,102
668,164,-10,-12,22,60
968,148,-2,4,6,24
1070,150,0,2,18,106
346,176,-10,-20,21,28
758,180,6,-24,12,15
1032,154,-2,2,22,42
298,178,14,-20,20,27
382,156,2,2,14,24
1098,158,0,2,15,55
406,162,0,0,5,17
430,194,2,-30,11,20
736,166,0,-2,17,35
216,164,0,2,12,79
576,196,8,-30,3,5
966,168,-2,2,3,9
1030,168,-2,2,14,61
642,170,-2,4,19,47
346,176,0,0,4,19
852,176,-4,0,15,35
298,178,0,0,7,18
1094,176,-2,2,7,34
692,174,2,6,23,32
758,180,0,0,1,6
1084,180,0,0,15,63
910,172,12,10,17,48
774,184,0,0,5,22
352,178,-4,8,10,21
962,184,-2,2,8,18
378,188,0,0,4,23
440,186,-2,2,12,47
808,188,0,0,8,40
844,186,0,2,6,31
692,174,-28,16,23,30
210,190,0,2,3,29
960,192,-2,0,12,18
