# x, y, dx, dy, 1st best, 2nd best
490,22,0,0,5,72
802,22,0,0,2,43
164,24,0,0,3,90
290,24,0,0,6,37
254,26,0,0,3,66
210,28,0,0,7,53
286,28,0,0,5,89
292,28,0,0,9,38
368,28,0,0,1,45
802,28,0,0,5,42
884,28,0,0,15,70
904,26,0,2,21,44
540,30,0,0,6,104
706,30,0,0,3,47
750,30,0,0,5,77
838,30,0,0,2,57
854,30,0,0,5,27
322,32,0,0,8,56
220,34,0,0,7,41
316,34,0,0,3,70
550,34,0,0,6,58
704,38,-2,-4,20,48
814,34,0,0,0,49
820,36,0,-2,16,45
188,36,0,0,7,34
600,36,0,0,8,92
962,36,0,0,4,38
710,38,0,0,9,53
908,38,0,0,3,44
398,40,0,0,3,43
420,40,0,0,3,77
622,40,0,0,4,60
234,42,0,0,6,50
248,42,0,0,10,83
868,42,0,0,1,19
962,42,-2,2,22,42
846,48,0,-2,15,39
870,46,0,0,0,20
488,48,0,0,2,49
956,50,0,0,3,71
358,54,0,0,8,66
484,54,0,0,9,59
652,54,0,0,12,94
262,56,0,0,3,76
336,56,0,0,8,48
468,58,0,0,10,51
760,58,0,0,2,46
354,60,0,0,3,77
426,60,0,0,9,64
220,62,0,0,4,31
190,64,0,0,2,85
296,64,0,0,8,50
550,66,0,0,12,121
582,66,0,0,8,45
890,66,0,0,5,58
456,68,0,0,7,73
796,68,0,0,4,45
816,70,0,-2,15,39
938,68,0,0,2,64
622,70,0,0,9,80
696,70,0,0,10,89
890,72,6,-2,17,45
240,72,0,0,3,51
312,72,0,0,7,41
344,74,0,0,4,46
414,76,0,-2,20,75
658,74,0,0,6,107
938,74,0,0,2,64
194,76,0,0,4,63
486,76,0,0,11,86
538,76,0,0,4,115
230,78,0,0,5,65
440,78,0,0,12,122
576,80,0,0,5,52
734,80,0,0,5,78
398,82,0,0,9,128
848,86,0,-2,18,67
984,84,0,0,8,85
696,86,0,0,5,78
856,86,0,0,1,62
910,86,0,0,2,78
926,86,0,0,5,73
180,88,0,0,4,94
446,88,0,0,5,81
470,88,0,0,8,57
734,88,0,0,5,83
994,88,0,0,7,88
264,90,0,0,6,42
782,90,0,0,7,63
970,92,-2,0,12,44
316,94,0,0,4,42
270,98,0,0,6,44
542,98,0,0,8,35
280,102,0,0,7,33
814,102,0,0,8,72
412,104,0,0,7,18
580,104,0,0,5,54
720,104,0,0,4,67
848,104,0,0,7,54
738,106,0,0,5,64
826,106,0,0,9,81
490,108,0,0,6,63
724,108,0,0,4,75
348,112,0,0,6,72
838,112,0,0,3,60
296,116,0,0,6,68
418,116,0,0,4,25
622,116,0,0,1,80
884,116,0,0,4,58
984,116,0,0,0,12
190,118,0,0,6,41
422,118,0,0,5,48
948,120,-2,-2,12,18
230,120,0,0,4,42
476,120,0,0,13,60
692,120,0,0,5,91
988,120,0,0,3,11
898,122,0,0,7,57
800,126,0,-2,18,76
948,120,6,4,20,30
194,126,0,0,12,35
620,128,0,0,13,113
776,128,0,0,8,108
892,128,0,0,5,83
914,128,0,0,2,34
350,130,0,0,4,82
560,130,0,0,3,45
810,132,0,-2,7,61
816,130,0,0,9,57
992,130,0,0,1,14
478,132,0,0,5,58
732,132,0,0,11,76
230,136,0,0,4,53
710,136,0,0,8,86
868,136,0,0,3,62
890,136,0,0,4,30
330,140,-2,-2,23,68
406,138,0,0,8,76
520,140,0,0,12,74
844,140,0,0,14,110
500,142,0,0,10,80
1008,144,-2,0,10,27
576,146,0,0,6,87
906,148,0,0,5,69
294,150,0,0,5,80
634,150,0,0,6,95
694,150,0,0,6,112
1010,150,-2,0,13,27
212,152,0,0,3,37
472,152,0,0,9,78
940,152,0,0,9,89
798,154,0,0,7,82
932,154,0,0,4,63
1032,154,0,0,4,45
762,156,0,0,10,63
278,158,0,0,4,74
358,160,0,0,5,48
420,160,0,0,3,41
768,160,0,0,7,83
778,160,0,0,7,79
902,160,0,0,4,84
1040,160,0,0,1,44
474,162,0,0,4,83
798,162,0,0,7,81
552,164,0,0,10,61
900,164,0,0,4,65
364,166,0,0,6,49
520,166,0,0,6,87
480,168,0,0,10,87
764,168,0,0,4,75
214,170,0,0,3,45
446,170,0,0,5,50
320,172,0,0,10,64
488,172,0,0,10,67
674,172,0,0,17,96
888,172,0,0,7,88
658,174,0,0,4,76
880,174,0,0,6,85
378,176,-2,0,23,58
994,176,0,0,10,113
1038,176,0,0,2,62
820,178,0,0,5,77
608,180,0,0,3,89
654,180,0,0,8,89
