# x, y, dx, dy, 1st best, 2nd best
818,40,2,-6,22,64
736,26,24,32,17,110
354,114,30,-24,20,47
652,98,10,-2,21,27
784,108,24,0,15,50
888,114,28,-4,20,28
784,108,22,6,15,21
348,102,28,16,12,18
986,120,2,0,14,32
354,114,28,10,11,255
992,124,2,0,4,12
784,108,14,20,10,22
354,114,28,16,10,255
784,108,12,26,16,219
286,112,30,24,10,23
706,148,24,-8,20,29
706,148,30,-8,19,28
1008,140,2,2,11,25
1012,150,0,0,12,18
1036,152,0,0,18,49
920,136,30,22,15,69
706,148,24,20,16,25
1016,174,2,0,4,33
528,192,32,-16,9,30
1044,176,0,0,21,79
1016,180,2,0,7,26
528,192,32,-10,13,20
1056,186,2,2,5,13
1020,194,2,0,2,62
742,166,20,32,23,210
728,180,32,22,15,255
1026,202,2,2,15,59
1070,206,2,0,14,48
686,196,32,18,8,203
968,214,2,0,17,58
284,188,30,28,22,174
284,188,26,32,23,179
528,192,30,28,17,26
686,196,18,24,19,216
686,196,26,26,11,208
1044,222,0,0,18,70
686,196,32,30,10,201
1042,228,2,0,10,82
982,236,4,2,12,23
864,268,-26,-28,8,36
1022,240,0,0,17,46
1070,246,2,0,4,42
516,250,32,10,7,58
958,268,2,0,21,144
278,258,32,12,8,16
488,258,32,12,23,50
890,298,-2,-26,14,26
1016,274,0,0,9,45
1016,274,4,0,18,46
988,276,2,0,7,69
1040,284,2,0,10,58
1070,286,2,0,13,49
936,308,-28,-20,20,32
990,288,2,0,11,65
1022,292,0,0,9,52
1036,292,0,0,17,38
1068,290,0,2,22,64
940,330,-16,-32,7,12
1022,298,2,0,3,48
940,330,-12,-28,10,13
976,304,2,2,12,36
1056,312,4,0,10,34
982,316,2,0,3,36
942,320,-6,0,9,14
1060,324,2,0,4,21
938,326,2,0,4,7
980,326,2,0,8,84
1016,326,0,0,11,74
1098,330,0,0,11,102
940,330,0,4,3,10
1046,336,2,0,11,45
908,356,12,-14,22,30
1054,342,2,0,5,51
646,346,30,4,7,36
990,356,0,0,12,69
1068,358,2,0,12,38
676,360,28,6,18,115
952,368,2,0,0,9
968,372,2,0,11,20
1050,382,2,2,7,33
984,388,2,0,4,19
458,386,20,14,17,31
1020,400,0,0,5,63
946,416,0,-6,8,23
1074,408,2,2,14,45
446,444,-8,-30,11,17
1024,414,2,0,7,29
860,412,32,4,22,42
946,416,2,0,3,22
1060,418,0,0,9,49
946,416,2,4,7,28
1024,420,0,0,8,26
1068,420,0,0,6,46
974,412,0,10,9,18
1046,422,0,2,10,30
1092,424,2,0,22,58
260,426,30,2,12,17
266,426,30,2,14,39
860,412,-24,16,13,23
1018,428,2,0,3,25
254,418,-16,14,7,20
192,446,24,-10,17,73
142,418,-32,28,22,33
486,420,30,26,17,23
192,446,-4,2,21,130
962,448,2,0,2,9
406,438,24,12,18,23
116,448,22,8,23,30
1018,452,2,4,14,19
902,462,0,0,4,33
964,460,2,8,10,16
288,464,24,10,7,10
1004,480,0,0,21,113
798,482,32,2,11,21
830,466,24,20,8,27
346,478,28,10,23,75
492,476,30,12,14,102
966,488,0,0,11,31
1026,490,0,2,18,28
966,494,0,0,11,25
1018,494,2,0,7,16
858,480,20,16,7,9
852,498,6,2,6,10
1018,486,2,14,12,15
550,508,0,-4,16,24
1028,504,2,0,9,26
970,520,2,0,7,26
746,508,8,14,19,41
970,526,2,0,4,22
1016,528,0,-2,2,16
686,554,26,-26,10,15
654,514,-12,16,7,10
654,514,16,18,9,14
654,514,24,18,7,12
1016,540,0,-2,8,20
588,522,20,18,12,16
762,514,8,28,8,55
504,526,24,24,13,19
1008,552,0,0,18,77
1086,556,2,0,11,22
976,566,2,-6,19,26
1090,564,0,0,2,90
976,566,2,0,7,18
138,560,22,20,21,36
974,578,2,8,13,19
1100,600,-2,-12,13,26
654,578,-6,14,21,34
1006,596,2,0,3,35
648,594,-12,6,15,103
976,600,0,0,9,15
1100,600,0,0,4,22
648,594,-6,16,14,104
648,594,0,18,15,255
1034,612,2,0,8,26
978,614,2,0,3,46
534,610,-30,6,17,26
524,614,14,2,15,26
574,600,-24,16,5,9
1022,620,8,-4,14,22
534,610,28,8,8,17
1022,620,2,0,3,31
464,594,18,28,13,45
558,652,26,-30,18,27
464,594,-18,30,20,28
982,620,0,4,12,51
1018,628,4,-2,15,21
574,616,-30,20,20,58
214,636,-32,8,19,37
978,644,2,0,11,82
214,636,-24,10,13,41
390,644,-28,6,16,21
448,672,-18,-20,15,53
866,654,0,0,0,255
212,648,-16,10,22,45
1016,660,2,-2,8,14
1042,662,2,0,9,16
1042,668,2,0,4,11
1038,684,2,0,7,12
1038,684,2,6,5,11
152,688,26,6,18,61
982,696,0,-2,11,24
644,700,30,0,17,22
984,702,2,2,13,28
644,700,32,6,10,21
998,702,8,6,19,70
632,698,32,16,10,16
580,694,28,26,20,63
554,716,32,14,22,161
670,732,16,0,14,55
224,764,8,-18,13,20
612,754,18,12,21,33
160,800,30,-22,23,29
270,770,8,20,14,19
118,802,28,0,17,23
44,826,30,-20,14,31
564,780,28,32,9,12
662,804,30,12,23,255
118,802,-4,18,11,15
310,806,32,20,14,31
1078,822,-12,4,8,10
318,816,30,12,22,50
1068,800,10,30,3,5
1078,822,14,8,6,8
1092,822,8,12,4,8
34,840,18,-2,15,36
1058,816,22,22,1,3
114,820,-12,24,22,43
216,844,-24,2,21,27
1012,846,32,10,22,28
292,848,30,10,16,40
252,896,14,-30,22,37
1026,862,22,8,21,53
1026,862,28,12,13,49
968,916,30,-24,16,22
224,908,30,4,22,30
972,912,6,8,7,11
306,940,32,-16,21,35
290,918,-10,14,18,30
310,950,30,-10,22,106
310,950,20,0,16,24
674,952,-22,6,8,10
724,964,18,-4,7,12
320,974,-22,-12,18,25
320,974,-8,-12,19,24
496,986,-8,-16,17,24
712,960,30,10,2,9
800,964,32,12,6,8
320,974,30,4,21,55
836,962,32,18,7,25
778,1006,-32,-24,4,5
398,976,-28,14,13,19
706,966,12,28,22,32
398,976,-26,20,12,16
462,994,20,8,8,12
320,974,30,32,16,56
292,992,28,16,20,29
460,982,-28,26,10,16
468,1038,-8,-26,10,13
266,1046,-22,-32,21,73
564,1042,-10,-28,5,8
638,1004,-8,14,16,26
348,1042,-12,-22,12,15
426,1030,10,-10,5,7
624,1010,6,12,12,18
926,992,-2,30,21,54
342,1042,18,-16,18,25
624,1010,-12,16,13,35
426,1030,8,-2,7,11
240,1050,24,-20,18,24
480,1066,-14,-28,6,11
564,1042,30,0,6,11
388,1066,10,-20,22,28
658,1024,-14,22,10,18
502,1054,-6,-6,9,12
388,1066,6,-16,15,21
502,1054,8,-4,13,17
388,1066,32,-10,15,21
888,1030,12,30,4,15
628,1090,16,-28,22,28
884,1034,4,32,16,45
240,1050,32,22,3,21
1076,1074,0,0,5,12
1090,1074,4,0,8,17
1006,1078,32,-2,15,107
1006,1078,-12,0,12,17
1006,1078,2,0,7,255
830,1092,32,-12,19,29
968,1080,-8,0,5,255
968,1080,4,0,7,255
1066,1080,-24,0,18,255
480,1066,-16,16,19,27
926,1082,0,0,9,112
926,1082,6,0,12,126
46,1100,-6,-12,16,20
666,1102,22,-12,17,255
898,1090,2,2,21,27
32,1096,28,6,16,24
350,1102,22,2,13,51
46,1100,26,6,19,81
