# x, y, dx, dy, 1st best, 2nd best
182,22,0,0,8,70
188,22,0,0,8,130
552,22,0,0,6,47
1012,22,0,0,6,85
344,28,0,0,6,60
142,30,0,0,11,108
376,30,0,0,6,50
908,30,0,0,6,61
1060,30,0,0,4,69
488,32,0,0,14,80
678,32,0,0,5,89
228,34,0,0,7,105
292,34,0,0,11,27
440,34,0,0,3,71
454,34,0,0,11,56
738,34,0,0,8,105
126,36,0,0,8,58
372,36,0,0,3,70
834,36,0,0,18,80
892,36,0,0,1,73
406,38,0,0,4,60
728,38,0,0,9,130
838,38,0,0,14,109
720,40,0,0,17,83
1038,38,0,2,20,58
1066,40,0,0,7,69
566,42,0,0,12,100
948,42,0,0,3,58
964,42,0,0,4,91
328,44,0,0,16,63
830,44,0,0,7,79
942,44,0,0,4,63
822,48,0,0,4,45
878,48,0,0,5,62
982,50,0,0,6,77
558,52,0,0,12,39
1006,54,0,0,6,104
86,56,0,0,23,74
336,56,0,0,11,53
406,56,0,0,2,47
704,56,0,0,14,80
800,56,0,0,11,107
274,58,0,0,5,54
640,58,0,0,6,60
160,60,0,0,8,89
258,60,0,0,2,23
484,60,0,0,7,55
94,62,2,0,19,76
126,62,0,0,20,69
206,62,0,0,4,28
994,64,0,0,6,83
1024,66,0,0,9,55
204,66,0,2,20,34
354,68,0,0,8,50
942,68,0,0,5,51
958,68,0,0,2,33
390,70,0,0,5,86
482,70,0,0,8,53
578,70,0,0,8,107
974,72,0,0,7,38
1012,72,0,0,4,68
1066,72,0,0,3,32
226,74,0,0,7,115
122,76,0,0,10,108
260,78,0,-2,5,20
868,76,0,0,9,96
1094,78,0,0,9,65
482,80,0,0,6,57
770,80,0,0,5,77
262,82,0,0,3,16
426,82,0,0,13,92
460,82,0,0,11,55
632,84,0,0,4,45
1038,84,0,0,8,41
764,86,0,0,8,90
920,86,0,0,4,60
844,90,0,0,2,61
240,90,0,2,17,44
704,92,0,0,9,75
830,92,0,0,3,80
160,94,0,0,6,30
306,96,0,-2,18,53
790,94,0,0,7,84
