x_data,y_data,time
0,0,2022-05-27 13:07:29.055800
10,10,2022-05-27 13:07:29.088696
20,20,2022-05-27 13:07:29.121904
30,30,2022-05-27 13:07:29.148412
40,40,2022-05-27 13:07:29.179766
50,50,2022-05-27 13:07:29.210760
60,60,2022-05-27 13:07:29.242769
70,70,2022-05-27 13:07:29.274042
80,80,2022-05-27 13:07:29.306056
90,90,2022-05-27 13:07:29.338062
100,100,2022-05-27 13:07:29.370075
110,110,2022-05-27 13:07:29.402071
120,120,2022-05-27 13:07:29.434087
130,130,2022-05-27 13:07:29.466090
140,140,2022-05-27 13:07:29.498091
150,150,2022-05-27 13:07:29.530106
160,160,2022-05-27 13:07:29.562106
170,170,2022-05-27 13:07:29.593259
180,180,2022-05-27 13:07:29.625265
190,190,2022-05-27 13:07:29.657272
200,200,2022-05-27 13:07:29.689278
210,210,2022-05-27 13:07:29.721286
220,220,2022-05-27 13:07:29.752304
230,230,2022-05-27 13:07:29.784300
240,240,2022-05-27 13:07:29.816335
250,250,2022-05-27 13:07:29.847992
260,260,2022-05-27 13:07:29.879123
270,270,2022-05-27 13:07:29.911152
280,280,2022-05-27 13:07:29.943139
290,290,2022-05-27 13:07:29.975143
300,300,2022-05-27 13:07:30.007155
310,310,2022-05-27 13:07:30.040157
320,320,2022-05-27 13:07:30.071167
330,330,2022-05-27 13:07:30.101584
340,340,2022-05-27 13:07:30.133618
350,350,2022-05-27 13:07:30.165601
360,360,2022-05-27 13:07:30.197609
370,370,2022-05-27 13:07:30.229615
380,380,2022-05-27 13:07:30.261625
390,390,2022-05-27 13:07:30.293631
400,400,2022-05-27 13:07:30.325635
410,410,2022-05-27 13:07:30.357647
420,420,2022-05-27 13:07:30.389650
430,430,2022-05-27 13:07:30.421663
440,440,2022-05-27 13:07:30.453666
450,450,2022-05-27 13:07:30.485699
460,460,2022-05-27 13:07:30.517684
470,470,2022-05-27 13:07:30.549667
480,480,2022-05-27 13:07:30.582686
490,490,2022-05-27 13:07:30.613681
500,500,2022-05-27 13:07:30.645687
510,500,2022-05-27 13:07:30.677407
520,500,2022-05-27 13:07:30.709407
530,500,2022-05-27 13:07:30.741416
540,500,2022-05-27 13:07:30.773425
550,500,2022-05-27 13:07:30.805433
560,500,2022-05-27 13:07:30.837436
570,500,2022-05-27 13:07:30.869448
580,500,2022-05-27 13:07:30.901450
590,500,2022-05-27 13:07:30.933461
600,500,2022-05-27 13:07:30.965465
610,500,2022-05-27 13:07:30.997473
620,500,2022-05-27 13:07:31.029479
630,500,2022-05-27 13:07:31.060487
640,500,2022-05-27 13:07:31.092495
650,500,2022-05-27 13:07:31.124501
660,500,2022-05-27 13:07:31.156510
670,500,2022-05-27 13:07:31.188517
680,500,2022-05-27 13:07:31.220523
690,500,2022-05-27 13:07:31.252530
700,500,2022-05-27 13:07:31.284542
710,500,2022-05-27 13:07:31.314684
720,500,2022-05-27 13:07:31.346689
730,500,2022-05-27 13:07:31.378698
740,500,2022-05-27 13:07:31.410704
750,500,2022-05-27 13:07:31.442712
760,500,2022-05-27 13:07:31.474719
770,500,2022-05-27 13:07:31.506725
780,500,2022-05-27 13:07:31.538733
790,500,2022-05-27 13:07:31.570537
800,500,2022-05-27 13:07:31.602552
800,490,2022-05-27 13:07:31.633568
800,480,2022-05-27 13:07:31.665552
800,470,2022-05-27 13:07:31.697559
800,460,2022-05-27 13:07:31.729579
800,450,2022-05-27 13:07:31.760143
800,440,2022-05-27 13:07:31.791325
800,430,2022-05-27 13:07:31.823308
800,420,2022-05-27 13:07:31.855347
800,410,2022-05-27 13:07:31.887324
800,400,2022-05-27 13:07:31.919349
800,390,2022-05-27 13:07:31.951338
800,380,2022-05-27 13:07:31.983347
800,370,2022-05-27 13:07:32.015350
800,360,2022-05-27 13:07:32.047358
800,350,2022-05-27 13:07:32.079367
800,340,2022-05-27 13:07:32.111375
800,330,2022-05-27 13:07:32.143380
800,320,2022-05-27 13:07:32.175388
800,310,2022-05-27 13:07:32.207394
800,300,2022-05-27 13:07:32.239400
800,290,2022-05-27 13:07:32.271410
800,280,2022-05-27 13:07:32.303417
800,270,2022-05-27 13:07:32.335424
800,260,2022-05-27 13:07:32.367432
800,250,2022-05-27 13:07:32.399450
800,240,2022-05-27 13:07:32.431457
800,230,2022-05-27 13:07:32.463040
800,220,2022-05-27 13:07:32.495035
800,210,2022-05-27 13:07:32.527054
800,200,2022-05-27 13:07:32.559049
800,190,2022-05-27 13:07:32.590449
800,180,2022-05-27 13:07:32.622457
800,170,2022-05-27 13:07:32.654462
800,160,2022-05-27 13:07:32.686472
800,150,2022-05-27 13:07:32.718479
800,140,2022-05-27 13:07:32.750485
800,130,2022-05-27 13:07:32.782494
