x_data,y_data,time
0,0,2022-07-14 12:16:55.276847
10,10,2022-07-14 12:16:55.305855
20,20,2022-07-14 12:16:55.339865
30,30,2022-07-14 12:16:55.370872
40,40,2022-07-14 12:16:55.402878
50,50,2022-07-14 12:16:55.434595
60,60,2022-07-14 12:16:55.466604
70,70,2022-07-14 12:16:55.497849
80,80,2022-07-14 12:16:55.528841
90,90,2022-07-14 12:16:55.561844
100,100,2022-07-14 12:16:55.593854
110,110,2022-07-14 12:16:55.624869
120,120,2022-07-14 12:16:55.655577
130,130,2022-07-14 12:16:55.686169
140,140,2022-07-14 12:16:55.716768
150,150,2022-07-14 12:16:55.747731
160,160,2022-07-14 12:16:55.779741
170,170,2022-07-14 12:16:55.811748
180,180,2022-07-14 12:16:55.843754
190,190,2022-07-14 12:16:55.875782
200,200,2022-07-14 12:16:55.907778
210,210,2022-07-14 12:16:55.939776
220,220,2022-07-14 12:16:55.971783
230,230,2022-07-14 12:16:56.003790
240,240,2022-07-14 12:16:56.035800
250,250,2022-07-14 12:16:56.067802
260,260,2022-07-14 12:16:56.099813
270,270,2022-07-14 12:16:56.131829
280,280,2022-07-14 12:16:56.163843
290,290,2022-07-14 12:16:56.195831
300,300,2022-07-14 12:16:56.227840
310,310,2022-07-14 12:16:56.259848
320,320,2022-07-14 12:16:56.291857
330,330,2022-07-14 12:16:56.323862
340,340,2022-07-14 12:16:56.355869
350,350,2022-07-14 12:16:56.387878
360,360,2022-07-14 12:16:56.419884
370,370,2022-07-14 12:16:56.451913
380,380,2022-07-14 12:16:56.483899
390,390,2022-07-14 12:16:56.515915
400,400,2022-07-14 12:16:56.547930
410,410,2022-07-14 12:16:56.579924
420,420,2022-07-14 12:16:56.611938
430,430,2022-07-14 12:16:56.643935
440,440,2022-07-14 12:16:56.675942
450,450,2022-07-14 12:16:56.707948
460,460,2022-07-14 12:16:56.739956
470,470,2022-07-14 12:16:56.771962
480,480,2022-07-14 12:16:56.803971
490,490,2022-07-14 12:16:56.835977
500,500,2022-07-14 12:16:56.867985
510,500,2022-07-14 12:16:56.899991
520,500,2022-07-14 12:16:56.931997
530,500,2022-07-14 12:16:56.964006
540,500,2022-07-14 12:16:56.996015
550,500,2022-07-14 12:16:57.028020
560,500,2022-07-14 12:16:57.060027
570,500,2022-07-14 12:16:57.092036
580,500,2022-07-14 12:16:57.124044
590,500,2022-07-14 12:16:57.156048
600,500,2022-07-14 12:16:57.188058
610,500,2022-07-14 12:16:57.220064
620,500,2022-07-14 12:16:57.252076
630,500,2022-07-14 12:16:57.284078
640,500,2022-07-14 12:16:57.316084
650,500,2022-07-14 12:16:57.348094
660,500,2022-07-14 12:16:57.379102
670,500,2022-07-14 12:16:57.410107
680,500,2022-07-14 12:16:57.442115
690,500,2022-07-14 12:16:57.474122
700,500,2022-07-14 12:16:57.506128
710,500,2022-07-14 12:16:57.538147
720,500,2022-07-14 12:16:57.570022
730,500,2022-07-14 12:16:57.601460
740,500,2022-07-14 12:16:57.633579
750,500,2022-07-14 12:16:57.663447
760,500,2022-07-14 12:16:57.694926
770,500,2022-07-14 12:16:57.726623
780,500,2022-07-14 12:16:57.758244
790,500,2022-07-14 12:16:57.790328
800,500,2022-07-14 12:16:57.819792
800,490,2022-07-14 12:16:57.851798
800,480,2022-07-14 12:16:57.881803
800,470,2022-07-14 12:16:57.914813
800,460,2022-07-14 12:16:57.945815
800,450,2022-07-14 12:16:57.977822
800,440,2022-07-14 12:16:58.008835
800,430,2022-07-14 12:16:58.039841
800,420,2022-07-14 12:16:58.071845
800,410,2022-07-14 12:16:58.101855
800,400,2022-07-14 12:16:58.134860
800,390,2022-07-14 12:16:58.165870
800,380,2022-07-14 12:16:58.197876
800,370,2022-07-14 12:16:58.229883
800,360,2022-07-14 12:16:58.261889
800,350,2022-07-14 12:16:58.293895
800,340,2022-07-14 12:16:58.324905
800,330,2022-07-14 12:16:58.355915
800,320,2022-07-14 12:16:58.387921
800,310,2022-07-14 12:16:58.419923
800,300,2022-07-14 12:16:58.451932
800,290,2022-07-14 12:16:58.482939
800,280,2022-07-14 12:16:58.513948
800,270,2022-07-14 12:16:58.545966
800,260,2022-07-14 12:16:58.577962
800,250,2022-07-14 12:16:58.609969
800,240,2022-07-14 12:16:58.641976
800,230,2022-07-14 12:16:58.674000
800,220,2022-07-14 12:16:58.705989
800,210,2022-07-14 12:16:58.737996
800,200,2022-07-14 12:16:58.770002
800,190,2022-07-14 12:16:58.802010
800,180,2022-07-14 12:16:58.834020
800,170,2022-07-14 12:16:58.867027
800,160,2022-07-14 12:16:58.897031
800,150,2022-07-14 12:16:58.930041
800,140,2022-07-14 12:16:58.960051
800,130,2022-07-14 12:16:58.992054
800,120,2022-07-14 12:16:59.024061
800,110,2022-07-14 12:16:59.056067
800,100,2022-07-14 12:16:59.089075
800,90,2022-07-14 12:16:59.120084
800,80,2022-07-14 12:16:59.152091
800,70,2022-07-14 12:16:59.184096
800,60,2022-07-14 12:16:59.216103
800,50,2022-07-14 12:16:59.248112
800,40,2022-07-14 12:16:59.278119
800,30,2022-07-14 12:16:59.310128
800,20,2022-07-14 12:16:59.342135
800,10,2022-07-14 12:16:59.374144
800,0,2022-07-14 12:16:59.406150
800,-10,2022-07-14 12:16:59.438164
800,-20,2022-07-14 12:16:59.470159
800,-30,2022-07-14 12:16:59.502170
800,-40,2022-07-14 12:16:59.534187
800,-50,2022-07-14 12:16:59.566188
800,-60,2022-07-14 12:16:59.598192
800,-70,2022-07-14 12:16:59.637196
800,-80,2022-07-14 12:16:59.678209
800,-90,2022-07-14 12:16:59.703214
800,-100,2022-07-14 12:16:59.734220
800,-110,2022-07-14 12:16:59.777228
800,-120,2022-07-14 12:16:59.806238
800,-130,2022-07-14 12:16:59.838248
800,-140,2022-07-14 12:16:59.870250
800,-150,2022-07-14 12:16:59.902259
800,-160,2022-07-14 12:16:59.934266
800,-170,2022-07-14 12:16:59.966274
800,-180,2022-07-14 12:16:59.998280
800,-190,2022-07-14 12:17:00.030289
800,-200,2022-07-14 12:17:00.062296
800,-210,2022-07-14 12:17:00.094301
800,-220,2022-07-14 12:17:00.126313
800,-230,2022-07-14 12:17:00.158318
800,-240,2022-07-14 12:17:00.190323
800,-250,2022-07-14 12:17:00.222332
800,-260,2022-07-14 12:17:00.255338
800,-270,2022-07-14 12:17:00.286346
800,-280,2022-07-14 12:17:00.318353
800,-290,2022-07-14 12:17:00.350360
800,-300,2022-07-14 12:17:00.382366
800,-310,2022-07-14 12:17:00.414373
800,-320,2022-07-14 12:17:00.446382
800,-330,2022-07-14 12:17:00.478391
800,-340,2022-07-14 12:17:00.510397
800,-350,2022-07-14 12:17:00.542411
800,-360,2022-07-14 12:17:00.574431
800,-370,2022-07-14 12:17:00.606419
800,-380,2022-07-14 12:17:00.638437
