x,y,dx,dy
12,14,0,-1
13,19,0,0
12,22,0,1
551,36,0,0
49,50,-2,-1
401,64,5,-11
559,55,-2,0
335,62,-3,-6
220,57,-1,1
335,62,2,2
387,95,-2,-14
510,95,5,3
308,102,-2,4
303,116,0,-1
524,134,-1,-4
392,132,-4,-1
392,132,1,-1
37,109,-6,24
526,135,0,-2
392,132,-3,2
392,132,1,4
392,132,-2,5
392,132,-1,8
524,138,0,3
298,143,1,0
298,143,-2,1
395,159,-3,-6
141,156,-2,-2
458,154,1,1
534,146,3,11
405,165,2,8
111,179,-4,3
111,179,14,5
411,195,-1,0
405,204,-2,-7
405,204,6,-1
405,204,3,2
578,196,-1,14
18,189,-3,22
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
