x_data,y_data,time
0,0,2022-05-27 01:39:32.686372
10,10,2022-05-27 01:39:32.725817
20,20,2022-05-27 01:39:32.756851
30,30,2022-05-27 01:39:32.781270
40,40,2022-05-27 01:39:32.806948
50,50,2022-05-27 01:39:32.830877
60,60,2022-05-27 01:39:32.856996
70,70,2022-05-27 01:39:32.882468
80,80,2022-05-27 01:39:32.906102
90,90,2022-05-27 01:39:32.929313
100,100,2022-05-27 01:39:32.954027
110,110,2022-05-27 01:39:32.977200
120,120,2022-05-27 01:39:33.000440
130,130,2022-05-27 01:39:33.023519
140,140,2022-05-27 01:39:33.046555
150,150,2022-05-27 01:39:33.069864
160,160,2022-05-27 01:39:33.093096
170,170,2022-05-27 01:39:33.116114
180,180,2022-05-27 01:39:33.139282
190,190,2022-05-27 01:39:33.162405
200,200,2022-05-27 01:39:33.185427
210,210,2022-05-27 01:39:33.208574
220,220,2022-05-27 01:39:33.232013
230,230,2022-05-27 01:39:33.255014
240,240,2022-05-27 01:39:33.278216
250,250,2022-05-27 01:39:33.301573
260,260,2022-05-27 01:39:33.324703
270,270,2022-05-27 01:39:33.347877
280,280,2022-05-27 01:39:33.371117
290,290,2022-05-27 01:39:33.394267
300,300,2022-05-27 01:39:33.417480
310,310,2022-05-27 01:39:33.440657
320,320,2022-05-27 01:39:33.463808
330,330,2022-05-27 01:39:33.486921
340,340,2022-05-27 01:39:33.510223
350,350,2022-05-27 01:39:33.533440
360,360,2022-05-27 01:39:33.556660
370,370,2022-05-27 01:39:33.579771
380,380,2022-05-27 01:39:33.602890
390,390,2022-05-27 01:39:33.626075
400,400,2022-05-27 01:39:33.649297
410,410,2022-05-27 01:39:33.672377
420,420,2022-05-27 01:39:33.695488
430,430,2022-05-27 01:39:33.718665
440,440,2022-05-27 01:39:33.741755
450,450,2022-05-27 01:39:33.764837
460,460,2022-05-27 01:39:33.788334
470,470,2022-05-27 01:39:33.811587
480,480,2022-05-27 01:39:33.834777
490,490,2022-05-27 01:39:33.857825
500,500,2022-05-27 01:39:33.880823
510,500,2022-05-27 01:39:33.904065
520,500,2022-05-27 01:39:33.927263
530,500,2022-05-27 01:39:33.950432
540,500,2022-05-27 01:39:33.973538
550,500,2022-05-27 01:39:33.996827
560,500,2022-05-27 01:39:34.021503
570,500,2022-05-27 01:39:34.044906
580,500,2022-05-27 01:39:34.068131
590,500,2022-05-27 01:39:34.094470
600,500,2022-05-27 01:39:34.117642
610,500,2022-05-27 01:39:34.140715
620,500,2022-05-27 01:39:34.163795
630,500,2022-05-27 01:39:34.186907
640,500,2022-05-27 01:39:34.210116
650,500,2022-05-27 01:39:34.233242
660,500,2022-05-27 01:39:34.256385
670,500,2022-05-27 01:39:34.279561
680,500,2022-05-27 01:39:34.302852
690,500,2022-05-27 01:39:34.325859
700,500,2022-05-27 01:39:34.348971
710,500,2022-05-27 01:39:34.372339
720,500,2022-05-27 01:39:34.395459
730,500,2022-05-27 01:39:34.418616
740,500,2022-05-27 01:39:34.441830
750,500,2022-05-27 01:39:34.464886
760,500,2022-05-27 01:39:34.487975
770,500,2022-05-27 01:39:34.511201
780,500,2022-05-27 01:39:34.534206
790,500,2022-05-27 01:39:34.557275
800,500,2022-05-27 01:39:34.580839
800,490,2022-05-27 01:39:34.603850
800,480,2022-05-27 01:39:34.627002
800,470,2022-05-27 01:39:34.650319
800,460,2022-05-27 01:39:34.673335
800,450,2022-05-27 01:39:34.696476
800,440,2022-05-27 01:39:34.719851
800,430,2022-05-27 01:39:34.742997
800,420,2022-05-27 01:39:34.765984
800,410,2022-05-27 01:39:34.789500
800,400,2022-05-27 01:39:34.812715
800,390,2022-05-27 01:39:34.835810
800,380,2022-05-27 01:39:34.858987
800,370,2022-05-27 01:39:34.882157
800,360,2022-05-27 01:39:34.905310
800,350,2022-05-27 01:39:34.928600
800,340,2022-05-27 01:39:34.951718
800,330,2022-05-27 01:39:34.974870
800,320,2022-05-27 01:39:34.998035
800,310,2022-05-27 01:39:35.021107
800,300,2022-05-27 01:39:35.044185
800,290,2022-05-27 01:39:35.067470
800,280,2022-05-27 01:39:35.090517
800,270,2022-05-27 01:39:35.113845
800,260,2022-05-27 01:39:35.137138
800,250,2022-05-27 01:39:35.160169
800,240,2022-05-27 01:39:35.183204
800,230,2022-05-27 01:39:35.206534
800,220,2022-05-27 01:39:35.229502
800,210,2022-05-27 01:39:35.252510
800,200,2022-05-27 01:39:35.276270
800,190,2022-05-27 01:39:35.299394
800,180,2022-05-27 01:39:35.322550
800,170,2022-05-27 01:39:35.345607
800,160,2022-05-27 01:39:35.368574
800,150,2022-05-27 01:39:35.391818
800,140,2022-05-27 01:39:35.415234
800,130,2022-05-27 01:39:35.438376
800,120,2022-05-27 01:39:35.461444
800,110,2022-05-27 01:39:35.484881
800,100,2022-05-27 01:39:35.507917
800,90,2022-05-27 01:39:35.531008
800,80,2022-05-27 01:39:35.554249
800,70,2022-05-27 01:39:35.577277
800,60,2022-05-27 01:39:35.600425
800,50,2022-05-27 01:39:35.623790
800,40,2022-05-27 01:39:35.646930
800,30,2022-05-27 01:39:35.669986
800,20,2022-05-27 01:39:35.693451
800,10,2022-05-27 01:39:35.716748
800,0,2022-05-27 01:39:35.739875
800,-10,2022-05-27 01:39:35.762896
800,-20,2022-05-27 01:39:35.785976
800,-30,2022-05-27 01:39:35.809100
800,-40,2022-05-27 01:39:35.832446
