x_data,y_data,time
0,0,2022-05-27 12:54:51.473529
10,10,2022-05-27 12:54:51.499729
20,20,2022-05-27 12:54:51.533737
30,30,2022-05-27 12:54:51.563792
40,40,2022-05-27 12:54:51.595795
50,50,2022-05-27 12:54:51.627818
60,60,2022-05-27 12:54:51.660814
70,70,2022-05-27 12:54:51.691841
80,80,2022-05-27 12:54:51.723826
90,90,2022-05-27 12:54:51.755851
100,100,2022-05-27 12:54:51.787871
110,110,2022-05-27 12:54:51.819848
120,120,2022-05-27 12:54:51.851853
130,130,2022-05-27 12:54:51.883890
140,140,2022-05-27 12:54:51.915221
150,150,2022-05-27 12:54:51.947227
160,160,2022-05-27 12:54:51.979239
170,170,2022-05-27 12:54:52.011326
180,180,2022-05-27 12:54:52.043326
190,190,2022-05-27 12:54:52.075320
200,200,2022-05-27 12:54:52.106328
210,210,2022-05-27 12:54:52.138348
220,220,2022-05-27 12:54:52.170341
230,230,2022-05-27 12:54:52.202349
240,240,2022-05-27 12:54:52.234379
250,250,2022-05-27 12:54:52.266364
260,260,2022-05-27 12:54:52.298370
270,270,2022-05-27 12:54:52.330378
280,280,2022-05-27 12:54:52.362385
290,290,2022-05-27 12:54:52.394194
300,300,2022-05-27 12:54:52.426184
310,310,2022-05-27 12:54:52.458191
320,320,2022-05-27 12:54:52.489226
330,330,2022-05-27 12:54:52.520205
340,340,2022-05-27 12:54:52.553168
350,350,2022-05-27 12:54:52.585176
360,360,2022-05-27 12:54:52.617171
370,370,2022-05-27 12:54:52.649182
380,380,2022-05-27 12:54:52.681186
390,390,2022-05-27 12:54:52.713205
400,400,2022-05-27 12:54:52.745212
410,410,2022-05-27 12:54:52.776428
420,420,2022-05-27 12:54:52.808421
430,430,2022-05-27 12:54:52.839426
440,440,2022-05-27 12:54:52.871441
450,450,2022-05-27 12:54:52.904443
460,460,2022-05-27 12:54:52.935455
470,470,2022-05-27 12:54:52.967468
480,480,2022-05-27 12:54:52.999469
490,490,2022-05-27 12:54:53.031471
500,500,2022-05-27 12:54:53.063484
510,500,2022-05-27 12:54:53.095486
520,500,2022-05-27 12:54:53.127492
530,500,2022-05-27 12:54:53.159507
540,500,2022-05-27 12:54:53.191513
550,500,2022-05-27 12:54:53.223526
560,500,2022-05-27 12:54:53.255521
570,500,2022-05-27 12:54:53.286761
580,500,2022-05-27 12:54:53.318762
590,500,2022-05-27 12:54:53.350775
600,500,2022-05-27 12:54:53.382790
610,500,2022-05-27 12:54:53.414790
620,500,2022-05-27 12:54:53.446791
630,500,2022-05-27 12:54:53.478795
640,500,2022-05-27 12:54:53.510799
650,500,2022-05-27 12:54:53.542807
660,500,2022-05-27 12:54:53.575814
670,500,2022-05-27 12:54:53.606821
680,500,2022-05-27 12:54:53.639835
690,500,2022-05-27 12:54:53.670835
700,500,2022-05-27 12:54:53.702843
710,500,2022-05-27 12:54:53.734849
720,500,2022-05-27 12:54:53.766857
730,500,2022-05-27 12:54:53.798888
740,500,2022-05-27 12:54:53.830907
750,500,2022-05-27 12:54:53.862915
760,500,2022-05-27 12:54:53.894920
770,500,2022-05-27 12:54:53.926915
780,500,2022-05-27 12:54:53.958923
790,500,2022-05-27 12:54:53.989942
800,500,2022-05-27 12:54:54.021949
800,490,2022-05-27 12:54:54.053944
800,480,2022-05-27 12:54:54.085823
800,470,2022-05-27 12:54:54.117858
800,460,2022-05-27 12:54:54.148845
800,450,2022-05-27 12:54:54.181846
800,440,2022-05-27 12:54:54.213851
800,430,2022-05-27 12:54:54.245867
