# x, y, dx, dy, 1st best, 2nd best
436,22,0,0,9,142
798,22,0,0,3,63
508,24,0,0,7,89
118,26,0,0,7,75
598,26,0,0,7,93
1020,26,0,0,5,101
134,30,0,0,8,96
336,30,0,0,3,60
720,30,0,0,12,99
220,32,0,0,2,70
888,32,0,0,10,75
458,34,0,0,6,69
946,34,0,0,4,79
1036,34,0,0,11,75
118,38,0,-2,19,65
364,36,0,0,5,71
528,36,0,0,5,71
272,38,0,0,10,63
656,38,0,0,7,99
722,38,0,0,16,125
892,38,0,0,8,51
796,40,0,0,9,83
678,44,0,0,6,129
824,44,0,0,15,74
140,46,0,0,6,74
320,46,0,0,9,62
980,46,0,0,8,87
428,48,0,0,6,69
242,50,0,0,1,43
368,50,0,0,5,136
1002,50,0,0,14,99
552,52,0,0,5,89
266,56,0,0,6,49
328,56,0,0,6,45
398,56,0,0,3,25
634,58,0,0,10,87
844,58,0,0,9,99
850,58,0,0,11,80
244,60,0,0,4,44
86,62,0,0,21,69
118,64,0,0,15,64
728,64,0,0,10,85
924,64,0,0,13,77
196,68,0,0,3,34
1006,68,2,0,17,50
1064,68,-2,0,12,63
722,70,0,0,11,80
544,72,0,0,10,87
218,74,0,0,4,98
258,74,0,0,2,53
864,74,0,0,8,93
938,74,-2,0,16,59
410,76,0,0,9,62
192,78,0,0,2,41
508,78,0,0,14,55
422,80,0,0,11,125
826,80,0,0,12,68
758,84,0,0,6,79
916,84,-2,0,16,53
650,86,0,0,1,69
1062,86,0,0,19,78
578,88,0,0,11,69
720,88,0,0,4,98
232,90,0,0,3,67
884,92,0,0,0,51
152,92,0,2,22,84
878,94,0,0,3,52
1052,94,0,0,6,57
700,96,0,0,6,55
270,98,0,0,5,36
298,98,0,0,12,51
436,98,0,0,20,94
194,100,0,0,4,84
222,100,0,0,5,42
338,100,0,0,10,91
904,100,-2,0,19,98
762,102,0,0,11,68
888,102,0,0,3,87
384,104,2,0,14,115
90,108,0,0,19,98
122,108,0,0,6,75
168,110,0,0,5,75
720,110,0,0,11,51
1066,110,-2,0,11,31
226,112,0,0,6,43
512,112,0,0,6,71
882,112,0,0,5,87
1054,112,0,0,6,63
564,116,0,0,11,74
642,116,0,0,7,81
120,116,0,2,15,76
546,118,0,0,8,57
854,118,0,0,6,61
688,120,0,0,7,54
722,120,0,0,15,93
246,122,0,0,6,44
1054,122,0,0,5,87
1072,122,0,0,4,29
990,124,0,0,7,49
158,128,0,0,7,63
170,128,0,0,6,43
366,128,0,0,10,89
600,130,-2,-2,16,54
686,128,0,0,10,55
984,128,0,0,7,59
330,130,0,0,10,89
630,130,0,0,8,73
670,130,0,0,7,73
762,130,0,0,8,52
832,130,-2,0,17,58
1016,130,0,0,4,44
196,132,0,0,4,54
914,134,0,0,11,89
984,134,0,0,9,63
1070,136,-2,-2,19,68
830,136,0,0,7,99
162,138,0,0,5,42
230,138,0,0,7,117
936,138,0,0,15,86
848,140,0,0,3,60
908,144,0,0,12,70
224,146,0,0,14,96
230,146,0,0,11,91
388,146,0,0,8,77
1094,146,0,0,9,60
518,150,0,0,10,91
258,152,0,0,6,94
292,152,0,0,5,71
884,152,0,0,10,53
110,154,0,0,3,75
398,154,0,0,7,48
320,156,0,0,7,81
1090,158,4,0,23,34
168,160,0,0,5,54
1032,160,0,0,11,61
1090,162,0,0,8,21
518,164,0,0,8,81
868,164,0,0,9,84
856,166,0,0,7,82
168,168,0,0,5,51
322,170,0,0,3,80
104,172,0,0,4,60
118,170,0,2,17,22
288,174,0,0,4,50
402,176,0,0,10,48
142,178,0,0,5,54
920,178,0,0,11,81
1006,178,0,0,8,81
872,180,0,0,13,65
992,180,0,0,3,55
1078,182,0,-2,13,97
1014,180,0,2,9,58
346,184,0,0,11,88
378,184,-2,0,22,53
838,184,0,0,3,80
812,186,0,0,11,75
902,186,0,0,10,98
90,188,0,0,11,53
752,188,0,0,4,32
1026,188,0,0,2,56
208,190,2,0,16,22
278,190,0,0,9,80
460,190,0,0,8,71
472,190,0,0,14,75
138,192,0,0,3,71
604,222,22,-30,16,26
130,194,0,0,1,30
196,194,-2,0,16,57
430,194,0,0,10,61
104,196,0,0,5,31
108,196,0,0,4,28
390,196,0,0,7,68
900,196,0,0,9,101
816,198,-2,0,17,40
974,198,0,0,2,48
1014,198,0,0,12,61
186,200,0,0,2,59
394,200,0,0,7,70
462,200,-2,0,13,55
604,222,-2,-22,14,20
968,200,0,0,3,47
516,202,0,0,6,61
772,202,2,0,18,41
194,204,0,0,6,81
492,204,0,0,5,71
556,204,0,0,6,21
934,204,0,0,11,94
94,206,0,0,3,50
666,208,0,-2,6,25
674,206,0,0,4,23
794,206,0,0,1,32
352,208,0,0,11,74
610,208,0,0,5,24
996,208,0,0,4,51
1060,210,0,0,11,116
1044,212,0,0,5,53
172,214,0,0,5,56
742,214,0,0,7,37
378,216,0,0,10,82
610,222,12,-4,13,26
708,190,-6,30,16,27
898,222,0,-2,23,40
1054,220,0,0,13,121
604,222,0,0,4,11
738,254,-2,-28,19,24
152,228,0,0,6,125
898,228,0,0,4,55
294,230,0,0,10,68
1074,230,0,0,7,46
406,232,0,0,4,38
868,232,0,0,5,50
532,266,12,-32,3,6
102,236,0,0,4,85
200,238,0,0,4,58
324,238,0,0,10,31
672,236,-2,2,9,19
1094,238,0,0,16,98
178,240,2,0,7,55
1002,240,0,0,7,65
272,242,0,0,7,81
448,242,0,0,9,31
934,242,0,0,6,86
108,244,0,0,3,56
456,246,0,0,9,58
94,246,0,2,16,46
500,250,-6,-2,12,18
838,248,-2,0,13,38
1042,248,0,0,2,69
906,250,0,0,1,18
130,252,0,0,8,86
266,252,0,0,6,82
582,252,0,0,8,16
666,254,-2,-2,7,15
814,250,-24,2,23,30
822,254,0,0,4,23
524,256,0,0,3,9
770,252,6,4,8,13
782,260,0,-2,5,16
786,258,0,0,3,16
420,260,0,0,3,35
804,260,0,0,4,20
874,260,2,0,18,42
256,262,0,0,9,50
546,280,-32,-18,16,25
1000,262,0,0,8,61
1046,262,0,0,3,48
482,258,0,6,6,15
826,266,-2,-2,17,44
